symbol,date,net_income,depreciation_and_amortization,share_based_compensation,other_operating_activities,operating_cash_flow,capital_expenditures,investing_cash_flow,share_issuance_or_repurchase,other_financing_activities,financing_cash_flow,net_cash_flow,free_cash_flow,free_cash_flow_margin,free_cash_flow_per_share,change_in_investments,debt_issued_or_paid,operating_cash_flow_growth,acquisitions,dividends_paid,other_investing_activities,free_cash_flow_growth,common_stock_issued,share_repurchases
PSPC,2022-01-01,11.89,,,13.38,1.49,,0.0,0.0,0.09,0.09,1.57,1.49,,0.03,0.0,0.0,,,,,,,
CNDB,2022-01-01,24.26,,,25.77,1.52,,0.0,0.0,,0.0,0.69,1.52,,0.04,0.0,0.0,,,,,,,
RONI,2022-01-01,4.07,,,4.92,0.86,,0.0,0.0,0.09,0.09,0.94,0.86,,0.02,0.0,0.0,,,,,,,
TRTL,2022-01-01,14.22,,,15.32,1.1,,0.0,0.0,,0.0,1.1,1.1,,0.03,0.0,0.0,,,,,,,
ZT,2022-01-01,27.43,,,24.76,2.67,,3.41,0.0,,0.0,0.74,2.67,,0.06,3.41,0.0,,,,,,,
ACRO,2022-01-01,0.21,,,2.82,2.62,,0.99,0.0,,1.3,0.32,2.62,,0.06,0.99,1.3,,,,,,,
LITT,2022-01-01,16.59,,,13.16,3.43,,3.92,0.0,,0.0,0.49,3.43,,0.1,3.92,0.0,,,,,,,
SUAC,2022-01-01,2.43,,,3.48,1.05,,0.67,0.0,,0.0,0.38,1.05,,0.03,0.67,0.0,,,,,,,
SLAM,2022-01-01,18.69,,,20.11,1.43,,0.0,0.0,,1.07,0.35,1.43,,0.02,0.0,1.07,,,,,,,
KVSA,2022-01-01,1.87,,,1.82,3.7,,5.06,0.0,,1.16,0.2,3.7,,0.09,5.06,1.16,,,,,,,
HCMA,2022-01-01,14.78,,,15.67,0.89,,293.25,282.5,12.64,294.93,0.79,0.89,,0.02,293.25,0.21,,,,,,,
ENTF,2022-01-01,3.74,,,4.27,0.53,,0.0,0.0,,0.03,0.5,0.53,,0.01,0.0,0.03,,,,,,,
HCNE,2022-01-01,12.18,,,12.97,0.79,,0.0,0.0,,0.6,0.19,0.79,,0.02,0.0,0.6,,,,,,,
RRAC,2022-01-01,16.28,,0.0,17.83,1.55,,0.0,0.0,0.41,0.01,1.57,1.55,,0.04,0.0,0.4,,,,,,,
PPYA,2022-01-01,1.55,,,3.61,2.06,,293.25,296.16,0.4,295.61,0.3,2.06,,0.06,293.25,0.15,,,,,,,
AHRN,2022-01-01,13.76,,1.47,13.64,1.59,,3.01,0.0,,0.0,1.43,1.59,,0.04,3.01,,,,,,,,
MBSC,2022-01-01,0.87,,,0.82,1.68,,0.87,0.0,0.02,0.17,0.99,1.68,,0.04,0.87,0.19,,,,,,,
JUN,2022-01-01,21.12,,,22.08,0.96,,0.33,0.0,0.52,0.52,1.16,0.96,,0.03,0.0,0.0,,,,0.33,,,
GOGN,2022-01-01,1.27,,,0.52,0.76,,0.0,0.0,,0.3,0.46,0.76,,0.02,0.0,0.3,,,,,,,
APTM,2022-01-01,9.06,,,10.45,1.4,,0.0,0.0,,0.0,1.4,1.4,,0.04,0.0,0.0,,,,,,,
XPDB,2022-01-01,2.04,,,3.77,1.72,,0.17,0.0,,0.0,1.56,1.72,,0.05,0.17,0.0,,,,,,,
LGVC,2022-01-01,2.25,,,2.86,0.61,,0.0,0.0,,0.0,0.61,0.61,,0.02,0.0,,,,,,,,
GAMC,2022-01-01,9.85,,,11.49,1.65,,0.87,0.0,,0.76,0.02,1.65,,0.05,0.87,0.76,,,,,,,
NETC,2022-01-01,1.3,,,4.09,2.79,,0.76,0.0,,0.0,2.04,2.79,,0.08,0.76,,,,,,,,
FWAC,2022-01-01,0.27,,,0.5,0.23,,0.0,0.0,0.07,0.07,0.3,0.23,,0.01,0.0,,,,,,,,
ATEK,2022-01-01,1.45,,,2.56,1.11,,0.0,0.0,,0.0,1.11,1.11,,0.03,0.0,,,,,,,,
NFNT,2022-01-01,2.43,,,3.1,0.68,,0.0,0.0,0.15,0.25,0.42,0.68,,0.02,0.0,0.4,,,,,,,
KCGI,2022-01-01,29.2,,,29.98,0.78,,2.76,2.76,,2.76,0.78,0.78,,0.02,2.76,0.0,,,,,,,
EVE,2022-01-01,2.63,,,3.27,0.64,,0.0,0.0,,0.0,0.64,0.64,,0.02,0.0,,,,,,,,
BMAC,2022-01-01,2.2,,,3.56,1.36,,0.75,0.0,,0.0,0.61,1.36,,0.04,0.75,,,,,,,,
CNDA,2022-01-01,14.52,,,15.91,1.39,,0.71,0.0,,0.0,0.68,1.39,,0.04,0.71,,,,,,,,
JUGG,2022-01-01,12.72,,,13.38,0.66,,0.0,0.0,0.07,0.13,0.53,0.66,,0.02,0.0,0.2,,,,,,,
BLEU,2022-01-01,2.51,,,2.9,0.39,,0.0,0.0,,0.3,0.09,0.39,,0.01,0.0,0.3,,,,,,,
