symbol,date,net_income,depreciation_and_amortization,share_based_compensation,other_operating_activities,operating_cash_flow,capital_expenditures,investing_cash_flow,share_issuance_or_repurchase,other_financing_activities,financing_cash_flow,net_cash_flow,free_cash_flow,free_cash_flow_margin,free_cash_flow_per_share,change_in_investments,debt_issued_or_paid,operating_cash_flow_growth,acquisitions,dividends_paid,other_investing_activities,free_cash_flow_growth,common_stock_issued,share_repurchases
WNEB,2018-01-01,16.41,2.43,1.81,4.0,24.64,3.23,45.75,22.81,90.19,20.76,0.34,21.41,31.79,0.74,44.57,41.98,30.63,0.0,4.64,2.05,28.6,,
WNEB,2017-01-01,12.32,2.34,1.61,2.59,18.86,2.21,55.97,3.85,11.1,5.99,43.1,16.65,25.02,0.56,53.76,12.53,1928.06,0.0,3.58,,,,
WNEB,2016-01-01,4.83,1.5,0.74,6.14,0.93,1.47,33.75,0.59,72.43,21.86,56.53,0.54,1.26,0.03,11.41,48.73,92.3,23.81,2.44,,,,
WNEB,2015-01-01,5.72,1.32,0.71,4.34,12.08,3.18,30.91,3.91,66.15,13.75,5.08,8.9,25.23,0.51,27.73,46.39,2.19,0.0,2.1,,14.83,,
WNEB,2014-01-01,6.16,1.19,0.67,4.33,12.35,1.9,45.47,10.52,17.23,32.17,0.96,10.45,30.78,0.57,43.58,29.29,13.06,0.0,3.83,,20.73,,
WNEB,2013-01-01,6.76,1.1,0.85,5.49,14.2,1.02,14.98,20.09,60.98,21.2,7.98,13.18,37.38,0.66,14.85,56.22,25.57,0.0,5.87,1.16,29.48,,
FCCO,2022-01-01,14.61,1.82,,5.69,22.13,0.18,162.78,1.86,24.56,109.03,31.62,21.94,36.78,2.9,162.6,86.53,61.81,0.0,3.91,,62.52,,
FCCO,2021-01-01,15.47,1.92,,40.55,57.93,0.62,236.28,0.41,172.26,182.38,4.03,58.55,99.49,7.76,236.05,13.3,,0.0,3.59,0.85,,,
FCCO,2020-01-01,10.1,2.0,,29.15,17.05,1.09,171.52,0.38,201.66,205.87,17.3,18.13,36.17,2.42,170.43,7.41,,0.0,3.57,,,,
FCCO,2019-01-01,10.97,2.12,,8.27,4.83,2.49,49.2,5.07,62.99,59.87,15.42,2.33,4.82,0.31,46.7,5.25,75.84,0.0,3.31,0.0,88.13,,
FCCO,2018-01-01,11.23,2.08,,6.66,19.97,0.32,47.81,0.36,37.46,29.52,1.68,19.65,42.68,2.58,47.49,5.27,8.84,0.0,3.03,,28.63,,
FCCO,2017-01-01,5.82,1.79,,10.75,18.35,3.07,9.0,0.04,4.87,18.76,8.59,15.28,39.68,2.28,8.82,11.38,257.37,22.39,2.47,1.5,291.97,,
FCCO,2016-01-01,6.68,1.65,,3.2,5.14,1.24,51.54,0.05,50.4,45.46,0.94,3.9,11.26,0.58,50.3,2.78,64.61,0.0,2.12,,67.07,,
FCCO,2015-01-01,6.13,1.64,,6.74,14.51,2.67,57.98,0.13,46.65,43.88,0.41,11.84,35.78,1.77,50.06,1.07,20.83,0.0,1.83,5.25,34.62,,
FCCO,2014-01-01,5.12,1.4,,5.49,12.01,3.22,35.21,0.17,57.7,31.57,8.37,8.79,28.3,1.32,20.64,24.83,26.17,11.35,1.48,,32.15,,
FCCO,2013-01-01,4.14,1.02,,11.11,16.26,3.31,51.45,0.12,22.09,30.64,4.54,12.96,50.4,2.45,48.14,9.57,169.63,0.0,1.15,,147.95,,
HWBK,2022-01-01,20.75,2.14,0.0,2.61,20.28,2.25,206.54,2.89,115.26,110.07,76.19,18.03,24.48,2.66,206.46,1.94,32.88,0.0,4.24,2.18,39.23,,
HWBK,2021-01-01,22.52,2.28,0.0,5.41,30.21,0.55,127.54,2.15,133.21,76.87,20.45,29.67,38.51,4.31,128.54,50.58,43.75,0.0,3.62,1.55,53.18,,
HWBK,2020-01-01,14.29,2.27,0.0,4.46,21.02,1.65,139.56,0.91,197.09,220.79,102.24,19.37,31.02,2.76,138.43,27.64,8.44,0.0,3.03,0.52,12.4,,
HWBK,2019-01-01,16.11,2.06,0.0,1.21,19.38,2.15,16.27,0.0,1.32,0.39,36.04,17.23,30.44,2.44,23.46,4.39,18.89,6.7,2.68,1.66,23.17,,
HWBK,2018-01-01,10.71,1.8,0.0,3.79,16.3,2.31,78.57,0.04,72.66,41.48,20.8,13.99,26.67,2.06,76.85,29.14,30.64,0.0,1.99,0.59,24.62,,
HWBK,2017-01-01,3.41,1.74,0.0,7.33,12.48,1.25,112.93,0.88,115.15,137.33,36.88,11.23,22.4,1.65,112.79,24.54,7.77,0.0,1.47,1.12,8.58,,
HWBK,2016-01-01,7.28,1.78,0.02,4.45,13.53,1.25,94.24,0.62,63.47,79.32,1.38,12.28,25.99,1.79,97.04,17.57,1.42,0.0,1.1,4.06,1.63,,
HWBK,2015-01-01,8.6,1.81,0.01,2.92,13.34,0.86,50.23,0.03,22.32,22.46,14.43,12.48,25.13,1.81,49.37,45.86,1.56,0.0,1.06,,1.66,,
HWBK,2014-01-01,7.65,1.76,0.02,4.12,13.55,1.28,17.1,0.0,13.04,17.91,14.37,12.28,25.47,1.78,15.82,5.89,33.04,0.0,1.02,,30.19,,
HWBK,2013-01-01,4.36,1.74,0.02,13.51,20.24,2.66,9.55,0.0,54.06,41.13,30.44,17.59,36.52,2.55,6.89,13.9,36.09,0.0,0.98,,27.69,,
OPBK,2022-01-01,33.31,1.37,1.18,47.88,83.73,1.41,461.78,0.61,351.62,345.56,32.49,82.32,89.92,5.42,450.37,0.0,,,6.68,10.0,,,
OPBK,2021-01-01,28.84,1.31,0.56,58.99,28.28,1.13,286.04,0.06,333.54,323.47,9.15,29.4,38.42,1.94,284.92,5.0,,,5.13,,,,
OPBK,2020-01-01,13.13,1.3,1.1,20.38,4.85,0.62,147.07,7.72,179.27,172.29,20.37,5.47,10.9,0.36,146.45,5.0,,,4.26,,,,
OPBK,2019-01-01,16.76,1.15,1.47,0.39,18.98,1.74,118.03,4.83,115.34,107.36,8.31,17.24,31.58,1.1,118.58,0.0,37.98,,3.15,2.29,41.38,,
OPBK,2018-01-01,14.25,1.04,0.97,14.34,30.61,1.2,146.28,23.28,131.87,130.15,14.48,29.41,60.0,1.86,145.09,25.0,,,0.0,,,,
OPBK,2017-01-01,9.24,1.01,0.67,13.06,2.15,0.42,81.68,0.43,111.52,126.95,43.12,2.57,5.92,0.17,81.26,15.0,,,0.0,,,,
OPBK,2016-01-01,7.43,1.08,1.21,0.87,10.58,0.26,160.08,0.16,142.06,132.22,17.27,10.32,28.95,,159.82,10.0,18.25,,0.0,,46.03,,
HMST,2022-01-01,66.54,18.94,4.11,128.74,218.33,6.79,2654.15,75.0,1472.83,2443.43,7.61,211.54,72.93,11.17,2509.56,1072.45,26.18,138.76,26.85,0.95,24.37,,
HMST,2021-01-01,115.42,19.73,3.4,34.49,173.04,2.94,125.64,83.89,347.87,40.23,7.17,170.09,46.98,8.14,123.24,282.87,,0.0,21.34,0.54,,,
HMST,2020-01-01,79.99,17.74,2.69,125.97,25.55,1.84,232.62,57.77,481.46,258.34,0.17,27.38,8.11,1.2,234.23,151.49,,2.8,13.87,0.65,,,
HMST,2019-01-01,17.51,19.65,0.16,221.83,258.83,2.26,107.02,98.44,213.57,366.56,0.71,256.57,97.07,10.03,26.66,481.69,9.5,134.8,0.0,1.14,7.41,,
HMST,2018-01-01,40.03,14.58,3.36,228.04,286.01,8.92,564.05,0.07,290.15,262.72,15.32,277.1,123.98,10.27,555.97,27.5,79.51,0.0,0.0,0.84,136.87,,
HMST,2017-01-01,68.95,22.65,2.86,64.88,159.33,42.34,556.19,0.03,303.51,414.41,17.55,116.98,54.06,4.36,533.13,110.94,,19.29,0.0,,,,
HMST,2016-01-01,58.15,15.67,2.06,120.67,44.79,24.05,819.27,61.43,924.72,885.33,21.27,68.85,12.87,2.8,917.98,100.82,,122.76,0.0,,,,
HMST,2015-01-01,41.32,14.88,1.06,48.95,8.31,20.56,418.33,0.18,107.03,412.21,2.18,12.25,2.89,0.59,530.17,305.0,,132.41,0.0,0.01,,,
HMST,2014-01-01,22.26,17.5,1.52,389.91,348.64,19.9,84.24,0.13,233.49,429.47,3.41,368.53,129.16,24.9,64.32,197.47,,0.0,1.63,0.02,,,
HMST,2013-01-01,23.81,14.95,1.5,263.78,304.03,22.86,459.88,0.19,23.21,164.48,8.62,281.17,106.39,19.51,460.98,187.5,,23.97,0.0,0.02,,,
WMPN,2022-01-01,4.24,1.2,0.68,1.26,4.86,0.84,200.73,9.08,53.92,63.32,132.55,4.03,16.05,0.27,197.0,23.63,,0.0,5.14,2.9,55.71,,
WMPN,2021-01-01,3.78,1.24,0.11,5.39,0.26,2.84,0.69,118.7,6.03,86.75,85.81,2.59,10.9,0.17,16.47,24.03,,0.0,1.89,20.0,,,
WMPN,2020-01-01,1.33,0.82,0.0,2.0,0.15,1.81,16.95,0.0,77.12,73.54,56.75,1.66,10.14,,63.99,1.59,94.56,48.85,1.98,,,,
OVBC,2022-01-01,13.34,1.57,,1.08,15.99,1.99,83.39,0.0,32.25,38.64,106.04,14.0,25.47,2.93,80.56,1.67,21.26,0.0,4.72,0.84,15.7,,
OVBC,2021-01-01,11.73,1.61,,0.16,13.19,1.09,52.4,0.95,66.17,52.95,13.73,12.1,23.59,2.54,51.43,8.25,5.57,0.0,4.02,0.11,33.86,,
OVBC,2020-01-01,10.26,1.53,,0.7,12.49,3.45,88.69,0.0,172.29,162.14,85.95,9.04,18.66,1.89,80.67,6.13,15.33,0.0,4.02,4.57,6.1,,
OVBC,2019-01-01,9.91,1.46,,3.39,14.75,6.23,26.41,1.41,1.15,7.17,18.82,8.52,16.64,1.78,6.25,5.72,18.68,26.33,4.0,0.1,44.73,,
OVBC,2018-01-01,11.94,1.33,,4.87,18.14,2.73,12.73,1.33,9.93,8.81,3.39,15.42,29.86,3.26,10.0,3.76,25.14,0.0,3.97,,20.73,,
OVBC,2017-01-01,7.51,1.5,,5.48,14.5,1.73,42.18,0.72,66.44,62.09,34.41,12.77,26.27,2.72,40.36,1.14,8.45,0.0,3.93,0.09,9.3,,
OVBC,2016-01-01,6.92,1.27,,5.17,13.37,1.68,38.43,0.0,10.15,19.7,5.36,11.68,27.99,2.5,38.52,13.14,28.54,1.77,3.59,,38.29,,
OVBC,2015-01-01,8.57,0.97,,0.86,10.4,1.95,4.94,0.0,13.92,9.09,14.55,8.45,20.6,2.05,0.01,1.16,10.98,0.0,3.67,3.0,21.02,,
OVBC,2014-01-01,8.07,0.87,,2.74,11.68,0.99,29.89,0.1,17.95,20.84,2.63,10.7,26.42,2.61,29.71,6.22,11.23,0.81,3.44,,10.91,,
OVBC,2013-01-01,8.11,0.95,,4.1,13.16,1.15,0.95,0.17,26.19,29.52,17.31,12.01,29.7,2.96,1.04,0.54,21.48,0.0,2.97,1.25,15.51,,
ISTR,2022-01-01,35.71,4.44,2.11,0.5,42.75,3.64,350.99,10.41,38.25,251.46,56.78,46.38,44.09,4.69,349.62,303.67,27.68,0.0,3.55,5.0,52.8,,
ISTR,2021-01-01,8.0,4.99,1.74,18.75,33.48,3.12,53.4,6.19,25.95,25.21,61.67,30.36,41.6,2.94,56.91,41.87,88.64,8.11,3.09,8.5,198.82,,
ISTR,2020-01-01,13.89,4.57,1.64,2.35,17.75,7.59,148.14,11.12,143.32,121.07,9.33,10.16,13.64,0.96,123.98,8.44,4.41,10.81,2.69,5.77,4.6,,
ISTR,2019-01-01,16.84,3.46,1.43,3.16,18.57,7.92,103.06,20.49,153.4,112.05,27.56,10.65,15.41,1.07,164.26,59.67,13.13,74.14,2.17,5.02,7.36,,
ISTR,2018-01-01,13.61,2.55,1.07,0.82,16.41,4.92,182.4,2.33,136.64,152.71,13.28,11.5,19.44,1.2,177.23,19.86,73.54,0.0,1.47,0.26,43.67,,
ISTR,2017-01-01,8.2,1.87,0.79,1.4,9.46,1.46,98.35,33.18,20.47,89.86,0.97,8.0,17.86,0.92,103.09,77.88,74.65,21.2,0.72,15.0,77.79,,
ISTR,2016-01-01,7.88,1.49,0.61,27.32,37.3,1.28,151.97,3.31,170.44,123.14,8.48,36.03,94.49,5.06,147.09,43.71,0.57,0.0,0.28,3.6,5.55,,
ISTR,2015-01-01,7.07,1.45,0.39,28.61,37.52,3.38,173.31,0.44,109.39,137.25,1.45,34.13,89.97,4.7,169.93,28.52,,0.0,0.22,,,,
ISTR,2014-01-01,5.4,1.33,0.23,94.55,87.6,5.14,155.62,42.02,95.65,234.53,8.69,92.74,299.87,12.78,150.48,97.06,,0.0,0.19,,,,
ISTR,2013-01-01,3.17,0.89,0.15,11.71,15.92,8.08,151.33,5.34,146.61,158.97,23.56,7.84,33.59,,152.54,7.19,,9.29,0.17,,,,
FNCB,2022-01-01,20.45,1.57,0.58,2.62,19.97,0.87,184.59,3.64,34.38,107.51,57.1,19.1,31.8,0.97,182.39,152.05,17.34,,6.52,1.33,16.48,,
FNCB,2021-01-01,21.37,1.57,0.53,0.69,24.16,1.29,260.76,2.34,167.58,179.81,56.79,22.87,40.05,1.14,258.9,20.0,23.41,,5.43,0.57,27.85,,
FNCB,2020-01-01,15.35,1.63,0.49,2.11,19.58,1.69,132.75,0.04,285.74,234.42,121.25,17.89,37.67,0.89,131.26,46.91,33.6,,4.45,0.2,76.6,,
FNCB,2019-01-01,11.08,2.99,0.41,0.19,14.65,4.52,37.06,21.34,93.92,53.63,1.92,10.13,23.51,0.51,40.35,22.98,36.71,,4.03,1.24,40.89,,
FNCB,2018-01-01,13.35,2.97,0.28,6.55,23.15,6.02,88.82,0.12,93.18,64.4,1.27,17.14,37.46,1.02,83.27,26.04,96.74,,2.86,0.47,60.53,,
FNCB,2017-01-01,0.15,2.52,0.3,8.8,11.77,1.09,53.48,0.45,12.69,32.99,74.7,10.67,27.02,0.64,53.53,18.57,2617.55,,2.18,1.15,,,
FNCB,2016-01-01,6.31,2.6,0.27,8.75,0.43,0.86,20.34,0.43,193.59,111.27,91.36,0.43,1.2,0.03,21.41,81.27,90.29,,1.49,1.93,,,
FNCB,2015-01-01,35.84,1.7,0.32,33.4,4.46,1.42,108.86,0.0,26.21,89.82,14.58,3.04,8.32,0.18,108.2,63.61,47.59,,0.0,0.76,68.96,,
FNCB,2014-01-01,13.42,1.47,0.17,6.55,8.51,1.29,21.54,0.0,88.94,54.87,67.89,9.8,20.71,0.59,24.56,34.07,53.82,,0.0,1.74,49.63,,
FNCB,2013-01-01,6.38,1.27,0.06,10.73,18.43,1.02,68.76,0.0,30.09,38.62,11.72,19.46,47.07,1.18,71.45,8.53,,,0.0,1.67,,,
CALB,2022-01-01,21.11,1.48,1.76,4.32,28.66,0.15,271.97,0.02,111.6,5.24,238.07,28.51,38.23,3.43,271.77,106.39,76.83,,,0.05,77.88,,
CALB,2021-01-01,13.37,1.57,1.28,0.01,16.21,0.18,59.01,0.24,147.93,94.74,51.94,16.03,27.21,1.95,58.79,53.43,9.87,,,0.04,42.52,,
CALB,2020-01-01,4.3,1.4,1.27,7.78,14.75,3.51,453.84,0.25,543.97,743.26,304.18,11.25,25.53,1.38,449.5,199.04,18.22,,,0.83,12.73,,
CALB,2019-01-01,7.0,0.88,1.25,3.35,12.48,2.5,101.44,0.61,113.98,124.6,35.64,9.98,23.28,1.24,94.98,10.0,26.95,,,3.96,1.49,,
BSBK,2022-01-01,6.88,0.26,1.21,2.51,10.86,0.24,210.72,10.07,104.04,111.64,88.23,10.61,44.64,0.78,205.48,17.67,82.11,0.0,,5.0,135.63,,
BSBK,2021-01-01,7.52,0.34,0.57,1.79,5.96,1.46,35.15,0.48,13.79,16.43,24.68,4.5,18.88,0.33,25.21,29.73,2.71,19.39,,8.0,11.03,,
BSBK,2020-01-01,2.07,0.27,0.22,3.24,5.8,1.75,22.25,33.82,3.77,31.03,47.48,4.06,27.97,0.33,19.5,6.57,125.5,0.0,,1.01,68.03,,
BSBK,2019-01-01,2.43,0.3,0.0,0.15,2.57,0.16,1.65,90.35,12.54,99.12,103.34,2.41,20.61,0.18,14.7,21.31,38.43,0.0,,12.89,33.96,,
BSBK,2018-01-01,4.14,0.31,0.0,0.27,4.18,0.52,21.7,0.0,33.84,19.48,1.96,3.66,26.41,,4.47,14.36,27.15,0.0,,25.65,34.84,,
RMBI,2022-01-01,12.97,1.29,1.54,2.37,18.16,0.39,116.12,9.86,105.09,90.85,7.12,17.78,38.72,1.51,115.82,0.03,,,4.41,0.08,,,
RMBI,2021-01-01,11.14,1.54,1.81,24.14,9.65,0.58,212.19,11.79,207.13,196.11,25.73,10.23,24.21,0.82,211.64,10.04,,,9.28,0.03,,,
RMBI,2020-01-01,10.02,1.47,0.81,4.28,16.57,1.85,89.26,9.08,75.83,80.85,8.17,14.73,40.34,1.11,87.41,15.95,64.15,,1.84,,61.16,,
RMBI,2019-01-01,14.08,1.09,0.0,23.09,10.1,0.96,106.77,113.02,3.42,122.3,25.63,9.14,28.86,0.68,105.98,12.69,19.35,,0.0,0.17,28.12,,
RMBI,2018-01-01,5.68,1.11,0.0,1.67,8.46,1.33,101.54,0.0,60.23,91.88,1.2,7.13,23.72,0.55,100.32,32.14,36.12,,0.5,0.11,25.55,,
MLVF,2022-01-01,6.95,1.16,0.54,2.75,5.9,0.08,73.63,0.0,152.84,162.86,83.32,5.82,18.39,0.77,73.1,10.02,60.02,,,0.62,60.21,,
MLVF,2021-01-01,0.09,1.47,0.47,12.91,14.76,0.13,58.01,0.07,47.25,2.38,75.15,14.62,70.82,1.94,58.15,44.94,25.84,,,,27.98,,
MLVF,2020-01-01,0.64,0.75,0.49,9.85,11.73,0.3,35.33,2.53,62.91,68.5,92.1,11.43,60.42,1.5,30.03,3.07,14.5,,,5.0,14.45,,
MLVF,2019-01-01,9.33,0.76,0.5,0.35,10.24,0.26,103.12,23.01,179.65,215.59,122.71,9.98,34.09,1.31,102.86,12.93,13.06,,,,17.49,,
MLVF,2018-01-01,7.31,0.76,0.51,0.49,9.06,0.56,76.38,0.0,16.23,18.98,86.3,8.5,28.92,1.32,77.13,2.75,7.87,,,1.32,3.14,,
MLVF,2017-01-01,5.82,0.72,0.42,2.87,9.83,1.59,206.97,0.0,212.61,217.51,20.37,8.24,34.49,1.28,205.37,4.89,5.34,,,,4.01,,
MLVF,2016-01-01,12.15,0.65,0.24,3.71,9.33,0.75,104.21,0.0,136.52,151.38,56.5,8.58,43.13,1.34,104.51,14.85,187.55,,,1.05,197.16,,
MLVF,2015-01-01,4.67,0.65,0.2,2.26,3.25,0.36,89.76,0.0,52.57,107.59,21.08,2.89,16.35,0.45,89.37,55.02,,,,0.03,,,
MLVF,2014-01-01,0.71,0.64,0.16,1.54,0.03,0.24,56.51,0.0,71.64,60.98,4.5,0.28,1.63,0.04,53.28,10.67,,,,3.48,,,
MLVF,2013-01-01,18.8,0.7,0.17,16.09,1.85,0.28,19.27,20.84,56.29,87.11,108.22,2.13,30.51,0.33,13.95,9.97,,,,5.04,,,
FNWD,2022-01-01,15.08,5.97,0.74,4.03,17.76,1.23,1.16,0.0,134.34,18.49,1.89,16.53,21.01,3.85,34.14,120.92,4.22,33.8,5.08,0.41,18.79,,
FNWD,2021-01-01,14.96,4.56,0.57,3.05,17.04,3.13,125.93,0.0,131.73,122.14,13.25,13.92,22.08,4.0,123.39,5.28,13.65,0.0,4.31,0.59,13.04,,
FNWD,2020-01-01,15.93,3.2,0.42,0.19,19.74,3.74,185.06,0.0,147.92,137.99,27.34,16.0,26.52,4.62,182.18,5.64,80.12,0.0,4.29,0.86,96.11,,
FNWD,2019-01-01,12.1,1.95,0.24,3.33,10.96,2.8,28.17,0.0,80.55,47.34,30.12,8.16,15.92,2.36,78.6,29.13,3.96,52.56,4.09,0.66,14.38,,
FNWD,2018-01-01,9.34,2.66,0.13,1.59,10.54,1.01,31.17,0.0,11.85,26.74,6.11,9.53,22.61,3.15,49.62,18.32,14.3,18.26,3.43,1.21,10.45,,
FNWD,2017-01-01,8.96,2.61,0.19,0.53,12.3,1.66,47.84,0.01,13.23,2.34,33.2,10.64,28.51,3.71,47.0,7.65,18.36,0.0,3.26,0.82,22.59,,
FNWD,2016-01-01,9.14,2.55,0.14,1.45,10.39,1.71,21.28,0.0,64.9,43.58,32.69,8.68,23.85,3.04,19.92,18.18,9.83,0.0,3.14,0.35,6.5,,
FNWD,2015-01-01,7.85,2.32,0.1,0.81,9.46,1.31,44.81,0.0,24.77,24.92,10.43,8.15,24.5,2.86,60.83,3.11,1.23,17.0,2.96,0.33,6.53,,
FNWD,2014-01-01,7.39,2.03,0.06,0.09,9.58,0.86,35.04,0.03,23.37,27.64,2.18,8.72,28.53,3.07,37.31,6.98,13.38,2.63,2.67,0.49,14.23,,
FNWD,2013-01-01,7.12,2.13,0.04,1.77,11.06,0.89,24.46,0.14,6.48,0.56,13.96,10.17,34.65,3.58,20.05,4.58,29.67,0.0,2.33,3.51,31.48,,
PEBK,2022-01-01,16.12,6.03,0.25,0.25,22.66,4.56,255.98,0.71,22.47,27.42,205.9,18.09,23.71,3.21,251.48,10.59,15.77,,4.94,0.07,32.81,,
PEBK,2021-01-01,15.13,5.57,0.18,6.02,26.9,0.03,106.14,3.61,191.66,195.16,115.92,26.93,38.44,4.76,106.32,10.89,193.6,,3.79,0.15,303.76,,
PEBK,2020-01-01,11.36,4.18,0.03,6.41,9.16,2.49,148.97,3.0,254.57,249.0,109.19,6.67,10.62,1.15,146.21,1.83,30.58,,4.39,0.27,36.54,,
PEBK,2019-01-01,14.07,3.96,0.27,5.1,13.2,2.69,48.18,2.49,89.3,44.0,9.02,10.51,16.76,1.78,45.54,38.87,23.22,,3.94,0.04,37.64,,
PEBK,2018-01-01,13.38,4.57,0.09,0.85,17.19,0.33,18.59,0.0,29.74,12.53,13.93,16.86,28.77,2.81,18.49,20.34,7.57,,3.13,0.23,29.29,,
PEBK,2017-01-01,10.27,5.02,0.59,2.72,18.59,5.56,24.11,0.0,14.03,7.28,12.79,13.04,23.51,2.17,18.59,18.68,51.92,,2.64,0.04,22.66,,
PEBK,2016-01-01,9.18,5.42,0.93,3.29,12.24,1.61,23.62,1.98,60.74,41.71,30.33,10.63,19.69,1.78,23.09,14.94,11.71,,2.11,1.08,7.65,,
PEBK,2015-01-01,9.63,6.05,0.49,2.31,13.86,2.35,30.13,1.92,17.48,13.07,29.34,11.51,23.72,1.9,34.06,27.06,623.16,,1.57,6.29,,,
PEBK,2014-01-01,9.39,6.89,0.39,14.75,1.92,3.12,11.9,0.05,15.34,2.31,7.68,1.2,2.56,0.2,12.23,11.97,92.31,,1.02,3.46,,,
PEBK,2013-01-01,6.04,8.45,0.17,9.6,24.92,2.43,19.23,0.0,17.1,22.24,27.93,22.49,54.3,3.64,22.6,5.82,30.98,,0.68,5.8,24.17,,
OFED,2022-01-01,4.1,1.65,0.46,0.49,5.71,0.21,37.51,0.66,19.75,10.88,20.92,5.49,32.39,0.98,37.29,6.0,15.85,0.0,2.21,,17.67,,
OFED,2021-01-01,4.07,1.91,0.46,1.51,4.93,0.26,34.27,1.23,18.84,25.41,3.93,4.67,27.71,0.83,34.01,10.0,3.26,0.0,2.2,,43.88,,
OFED,2020-01-01,3.86,1.31,0.46,0.54,5.09,1.85,10.98,3.94,1.99,18.18,2.11,3.25,19.31,0.57,12.83,14.0,6.29,0.0,2.23,,11.17,,
OFED,2019-01-01,3.72,1.15,0.55,0.02,5.44,1.78,11.05,1.41,31.52,32.4,26.78,3.65,21.84,0.64,9.27,4.5,14.8,0.0,2.21,,36.02,,
OFED,2018-01-01,3.04,1.32,0.64,1.39,6.38,0.67,22.16,0.43,6.92,4.94,10.84,5.71,34.01,0.99,21.49,14.5,4.08,0.0,2.21,,3.97,,
OFED,2017-01-01,5.53,1.42,0.75,1.57,6.13,0.18,4.22,1.49,5.13,8.84,6.93,5.95,33.49,1.03,4.04,0.0,24.8,0.0,2.22,,25.17,,
OFED,2016-01-01,5.25,1.27,0.8,0.84,8.15,0.2,8.94,1.01,5.54,2.28,1.48,7.95,42.36,1.35,0.74,0.0,42.21,0.0,2.25,8.0,50.04,,
OFED,2015-01-01,4.51,1.08,0.75,0.61,5.73,0.44,36.98,0.04,26.14,28.41,14.3,5.3,32.77,0.9,13.34,0.0,28.38,24.08,2.24,,22.82,,
OFED,2014-01-01,3.64,0.91,0.63,0.71,4.46,0.15,15.25,1.63,11.41,15.27,26.05,4.31,35.95,0.74,15.1,0.0,28.1,0.0,2.24,,29.76,,
OFED,2013-01-01,4.04,1.15,0.49,0.52,6.21,0.07,4.74,7.78,0.95,11.14,9.67,6.14,51.3,1.02,3.33,0.0,20.56,0.0,2.42,8.0,22.85,,
FRAF,2022-01-01,14.94,1.44,0.46,8.41,25.24,12.22,95.06,1.87,32.91,40.44,110.25,13.03,19.68,2.97,82.84,0.0,4.19,,5.66,,37.5,,
FRAF,2021-01-01,19.62,1.2,0.2,5.33,26.35,5.51,133.94,1.33,229.79,225.59,118.0,20.84,31.46,4.7,129.57,0.0,309.46,,5.52,1.14,250.23,,
FRAF,2020-01-01,12.8,1.33,0.2,7.89,6.44,0.48,277.31,0.7,229.18,244.2,26.68,5.95,11.35,1.36,279.53,19.54,66.07,,5.23,2.7,65.63,,
FRAF,2019-01-01,16.12,1.37,0.0,1.48,18.97,1.65,23.48,2.26,42.76,35.39,30.87,17.31,30.21,3.98,25.96,0.0,103.89,,5.12,4.13,112.68,,
FRAF,2018-01-01,6.13,1.33,0.19,1.66,9.3,1.16,47.49,1.69,35.45,32.54,5.65,8.14,18.79,1.85,46.42,0.0,42.76,,4.6,0.09,46.21,,
FRAF,2017-01-01,2.18,1.33,0.16,12.59,16.25,1.12,32.24,1.17,65.06,37.93,21.94,15.13,30.94,3.48,33.57,24.27,9.4,,4.03,2.45,6.0,,
FRAF,2016-01-01,8.09,1.35,0.09,5.34,14.86,0.58,102.67,0.96,63.61,85.31,2.5,14.28,33.54,3.32,103.15,24.27,11.78,,3.52,1.06,16.56,,
FRAF,2015-01-01,10.2,1.51,0.07,1.5,13.29,1.04,49.17,1.34,37.33,26.45,9.43,12.25,28.09,2.88,49.02,9.08,7.43,,3.14,0.9,12.58,,
FRAF,2014-01-01,8.4,1.94,0.0,4.02,14.36,0.35,12.94,0.98,35.46,6.43,7.85,14.01,33.37,3.33,13.47,27.16,6.76,,2.85,0.87,5.78,,
FRAF,2013-01-01,6.23,1.91,0.0,7.25,15.4,0.53,3.56,0.98,28.72,48.93,37.09,14.87,38.35,3.58,3.69,18.38,45.8,,2.81,0.66,79.96,,
PTRS,2022-01-01,13.62,2.25,0.09,4.81,20.77,0.55,147.61,0.19,103.75,70.41,197.24,20.23,33.79,1.13,147.9,35.22,12.21,0.0,2.07,0.84,24.13,,
PTRS,2021-01-01,7.41,2.66,1.07,7.37,18.51,2.22,84.78,0.12,174.55,122.49,56.22,16.29,31.08,0.91,81.29,50.41,684.74,0.0,1.78,1.27,,,
PTRS,2020-01-01,5.67,2.22,0.01,5.55,2.36,3.19,70.02,0.26,262.41,255.16,187.5,0.83,1.82,0.05,60.22,5.21,66.47,0.0,1.78,6.61,,,
PTRS,2019-01-01,5.88,1.17,0.02,0.03,7.04,1.23,12.26,0.05,48.67,46.12,65.42,5.81,17.29,0.58,5.45,1.41,21.03,6.74,1.2,1.3,31.16,,
PTRS,2018-01-01,5.48,1.57,0.04,1.83,8.91,0.48,32.95,0.03,11.23,21.15,2.89,8.43,27.96,0.84,45.24,10.79,420.89,11.83,0.9,0.93,436.65,,
CFBK,2022-01-01,18.16,0.39,0.9,21.09,39.76,0.91,353.32,2.13,281.57,298.75,14.8,38.86,75.88,5.99,353.0,20.46,84.3,0.58,1.15,,84.5,,
CFBK,2021-01-01,18.45,2.07,0.71,236.21,253.3,2.59,316.73,2.93,135.18,8.42,55.0,250.71,453.54,38.11,307.56,122.98,,0.76,0.85,7.34,,,
