symbol,date,cash_and_equivalents,cash_and_cash_equivalents,cash_growth,receivables,inventory,other_current_assets,total_current_assets,property_plant_and_equipment,goodwill_and_intangibles,other_long_term_assets,total_long_term_assets,total_assets,accounts_payable,deferred_revenue,other_current_liabilities,total_current_liabilities,other_long_term_liabilities,total_long_term_liabilities,total_liabilities,common_stock,retained_earnings,comprehensive_income,shareholders_equity,total_liabilities_and_equity,net_cash_or_debt,net_cash_or_debt_growth,net_cash_per_share,working_capital,book_value_per_share,long_term_investments,current_debt,total_debt,debt_growth,long_term_debt,short_term_investments,goodwill,intangible_assets
GATE,2022-01-01,0.57,0.57,49.5,,,0.33,0.89,,,0.0,10.33,11.22,0.57,,0.64,1.21,15.21,15.41,16.62,0.0,15.79,,15.79,0.83,0.37,3.11,0.01,0.31,0.41,10.33,,0.2,,0.2,,,
THCP,2022-01-01,0.03,0.03,94.27,,,0.12,0.15,,,,239.77,239.92,1.6,,0.31,2.11,9.21,9.21,11.32,0.0,10.8,,10.8,0.52,0.17,,0.01,1.96,0.36,239.77,0.21,0.21,,,,,
BIOS,2022-01-01,0.14,0.14,77.92,,,0.41,0.55,,,0.0,237.78,238.32,,,0.26,0.53,9.8,14.8,15.33,0.0,14.78,,14.78,0.55,5.12,,0.17,0.02,0.5,237.78,0.26,5.26,5.27,5.0,,,
CORS,2022-01-01,0.31,0.31,65.22,,,0.2,0.51,,,0.0,285.23,285.74,0.09,,0.46,0.55,14.71,14.71,15.25,0.0,14.65,,14.65,0.61,0.31,65.22,0.01,0.04,0.49,285.23,,,,,,,
CORS,2021-01-01,0.88,0.88,,,,0.61,1.49,,,0.0,280.95,282.44,0.14,,0.2,0.34,24.81,24.81,25.15,0.0,23.61,,23.61,1.54,0.88,,0.06,1.14,1.55,280.95,,,,,,,
MEKA,2022-01-01,0.67,292.32,23110.55,,,0.68,293.0,,,0.0,0.0,293.0,0.09,,3.42,3.51,0.0,0.0,3.51,0.0,2.16,,2.16,1.35,292.32,23110.55,9.83,289.49,0.07,0.0,,,,,291.65,,
CITE,2022-01-01,1.08,1.08,111970.36,,,0.34,1.42,,,0.0,240.11,241.53,0.1,,0.0,0.1,10.13,10.13,10.23,0.0,8.81,,8.81,1.42,1.08,,0.04,1.32,0.31,240.11,0.0,0.0,,,,,
BTWN,2022-01-01,0.02,0.02,85.01,,,0.66,0.69,,,,152.36,153.05,0.4,,1.71,5.63,21.0,21.0,26.63,0.0,25.94,,25.94,0.69,3.49,,0.05,4.94,0.4,152.36,3.52,3.52,104.87,,,,
BTWN,2021-01-01,0.16,0.16,89.59,,,0.56,0.71,,,,595.45,596.16,0.4,,1.83,3.95,41.37,41.37,45.32,0.0,44.15,,44.15,1.17,1.56,,0.02,3.24,0.59,595.45,1.72,1.72,42.82,,,,
WNNR,2022-01-01,0.62,0.62,,,,0.59,1.21,,,0.02,239.17,240.38,,,0.12,0.12,8.21,8.21,8.33,0.0,7.09,,7.09,1.23,0.62,,0.02,1.09,0.26,239.15,,,,,,,
SCUA,2022-01-01,0.0,0.0,,,,0.56,0.56,,,,237.96,238.53,0.02,,0.0,0.02,9.23,9.31,9.32,0.0,8.66,,8.66,0.66,0.08,,0.0,0.55,0.3,237.96,,0.08,,0.08,,,
CBRG,2022-01-01,0.12,0.12,84.29,,,0.32,0.44,,,,237.8,238.23,0.03,,0.01,0.03,2.81,4.25,4.28,0.0,3.74,,3.74,0.54,1.32,,0.05,0.41,0.13,237.8,,1.43,35.88,1.43,,,
FIAC,2022-01-01,1.43,1.43,2.3,,,0.37,1.79,,,0.0,237.04,238.83,1.12,,0.71,1.83,9.94,9.94,11.77,0.0,9.96,,9.96,1.81,1.43,2.3,0.25,0.04,1.73,237.04,,,,,,,
DPCS,2022-01-01,0.95,0.95,34.3,,,0.21,1.15,,,0.0,237.98,239.14,0.0,,0.33,0.34,8.05,12.65,12.99,0.0,11.83,,11.83,1.15,3.65,,0.13,0.82,0.41,237.98,,4.6,,4.6,,,
BPAC,2022-01-01,0.58,0.58,76.87,,,0.0,0.58,,,,237.13,237.71,0.49,,0.65,1.14,8.51,8.51,9.66,0.0,8.75,,8.75,0.91,0.58,76.87,0.02,0.56,0.3,237.13,,,,,,,
BRD,2022-01-01,1.08,1.08,37.87,,,0.33,1.4,,,,237.95,239.35,0.0,,1.43,1.43,8.05,8.05,9.48,0.0,8.0,,8.0,1.48,1.08,37.87,0.04,0.03,0.28,237.95,,,,,,,
