symbol,date,cash_and_equivalents,cash_and_cash_equivalents,cash_growth,receivables,inventory,other_current_assets,total_current_assets,property_plant_and_equipment,goodwill_and_intangibles,other_long_term_assets,total_long_term_assets,total_assets,accounts_payable,deferred_revenue,other_current_liabilities,total_current_liabilities,other_long_term_liabilities,total_long_term_liabilities,total_liabilities,common_stock,retained_earnings,comprehensive_income,shareholders_equity,total_liabilities_and_equity,net_cash_or_debt,net_cash_or_debt_growth,net_cash_per_share,working_capital,book_value_per_share,long_term_investments,current_debt,total_debt,debt_growth,long_term_debt,short_term_investments,goodwill,intangible_assets
TRIN,2022-01-01,10.61,10.61,77.3,,,,,,,,,1126.44,41.1,,,,,,666.79,480.57,20.92,,459.65,1126.44,599.98,,17.05,,14.51,,,610.59,34.09,,,,
TRIN,2021-01-01,46.74,46.74,23.5,,,,,,,,,937.12,24.4,,,,,,490.59,368.64,77.9,,446.53,937.12,408.61,,13.94,,17.19,,,455.35,51.91,,,,
TPVG,2022-01-01,59.26,59.26,0.19,,,,,,,,,1014.53,4.2,,,,,,594.59,470.93,50.99,0.0,419.94,1014.53,507.72,,15.53,,12.85,,,566.98,21.28,,,,
TPVG,2021-01-01,59.15,59.15,32.39,,,,,,,,,927.67,6.49,,,,,,493.18,414.53,19.96,0.0,434.49,927.67,408.36,,13.2,,14.04,,,467.5,79.04,,,,
TPVG,2020-01-01,44.68,44.68,68.97,,,,,,,,,683.51,5.85,,,,,,283.07,412.82,12.39,0.0,400.44,683.51,216.44,,7.08,,13.1,,,261.11,22.23,,,,
TPVG,2019-01-01,26.44,26.44,165.77,,,,,,,,,684.15,3.82,,,,,,351.64,333.3,0.8,0.0,332.51,684.15,309.31,,12.45,,13.38,,,335.75,249.95,,,,
TPVG,2018-01-01,9.95,9.95,0.57,,,,,,,,,467.05,24.28,,,,,,132.52,331.58,2.95,0.0,334.53,467.05,85.99,,4.2,,16.33,,,95.94,31.19,,,,
TPVG,2017-01-01,10.01,10.01,35.35,,,,,,,,,510.28,127.47,,,,,,275.34,235.67,0.72,0.0,234.95,510.28,129.43,,7.93,,14.39,,,139.43,17.15,,,,
TPVG,2016-01-01,15.48,15.48,59.78,,,,,,,,,434.22,42.65,,,,,,218.36,212.17,0.51,4.2,215.86,434.22,152.81,,9.46,,13.36,,,168.29,137.33,,,,
GLAD,2022-01-01,2.11,2.11,149.05,3.2,,,,,,,,660.97,3.03,,,,,,345.48,395.58,80.09,0.0,315.49,660.97,337.3,,9.82,,9.18,,,339.41,43.14,,,,
GLAD,2021-01-01,0.85,0.85,65.74,2.95,,,,,,,,566.5,3.13,,,,,,248.06,392.53,74.09,0.0,318.44,566.5,236.27,,7.11,,9.58,,,237.11,7.03,,,,
GLAD,2020-01-01,2.47,2.47,84.32,2.1,,,,,,,,459.18,2.39,,,,,,225.43,366.81,133.41,0.35,233.74,459.18,219.07,,7.06,,7.53,,,221.54,80.38,,,,
GLAD,2019-01-01,15.75,15.75,685.83,2.83,,,,,,,,426.07,2.39,,,,,,176.74,383.89,108.81,25.74,249.33,426.07,107.07,,3.66,,8.52,,,122.82,11.65,,,,
GLAD,2018-01-01,2.0,2.0,61.97,2.81,,,,,,,,399.51,1.69,,,,,,162.42,380.53,106.01,37.42,237.09,399.51,108.0,,3.98,,8.75,,,110.0,18.13,,,,
GLAD,2017-01-01,5.27,5.27,19.64,3.09,,,,,,,,365.86,2.06,,,,,,146.21,407.45,128.62,59.18,219.65,365.86,87.85,,3.45,,8.62,,,93.12,30.6,,,,
GLAD,2016-01-01,6.56,6.56,60.3,2.16,,,,,,,,335.54,2.52,,,,,,134.33,327.7,66.81,59.69,201.21,335.54,64.74,,2.79,,8.67,,,71.3,43.99,,,,
GLAD,2015-01-01,4.09,4.09,41.47,1.19,,,,,,,,382.48,1.75,,,,,,191.04,307.88,72.03,44.41,191.44,382.48,123.21,,5.85,,9.09,,,127.3,234.89,,,,
GLAD,2014-01-01,6.99,6.99,53.64,5.92,,,,,,,,301.43,1.56,,,,,,101.77,307.27,38.24,69.37,199.66,301.43,31.02,,1.48,,9.51,,,38.01,19.3,,,,
GLAD,2013-01-01,15.08,15.08,41.4,16.3,,,,,,,,295.09,2.33,,,,,,89.1,322.78,41.14,75.65,205.99,295.09,32.03,,1.53,,9.81,,,47.1,24.58,,,,
PNNT,2022-01-01,52.67,52.67,158.71,29.49,,,,,,,,1318.51,20.9,,,,,,732.95,748.23,162.67,,585.57,1318.51,651.85,,,,8.95,,,704.51,16.0,,,,
PNNT,2021-01-01,20.36,20.36,21.12,12.79,,,,,,,,1295.09,26.55,,,,,,634.95,787.06,126.92,,660.14,1295.09,586.98,,,,9.85,,,607.34,6.87,,,,
PNNT,2020-01-01,25.81,25.81,56.64,0.0,,,,,,,,1114.35,19.9,,,,,,588.64,787.69,261.98,,525.71,1114.35,542.51,,,,7.84,,,568.31,16.88,,,,
PNNT,2019-01-01,59.52,59.52,205.12,0.0,,,,,,,,1285.84,19.61,,,,,,703.93,788.26,206.35,,581.91,1285.84,624.24,,,,8.68,,,683.76,35.57,,,,
PNNT,2018-01-01,19.51,19.51,48.94,0.0,,,,,,,,1160.12,26.06,,,,,,531.22,803.8,174.9,,628.9,1160.12,484.84,,,,8.99,,,504.34,4.13,,,,
PNNT,2017-01-01,38.2,38.2,49.47,0.0,,,,,,,,1202.2,27.8,,,,,,555.39,818.81,172.0,,646.81,1202.2,487.86,,,,9.1,,,526.07,5.99,,,,
PNNT,2016-01-01,75.61,75.61,52.38,0.0,,,,,,,,1238.94,35.36,,,,,,595.57,820.05,176.69,,643.37,1238.94,483.98,,,,9.05,,,559.59,7.18,,,,
PNNT,2015-01-01,49.62,49.62,25.41,0.0,,,,,,,,1365.05,43.27,,,,,,648.46,834.78,118.19,,716.59,1365.05,553.25,,,,9.65,,,602.87,11.17,,,,
PNNT,2014-01-01,66.52,66.52,13.82,0.0,,,,,,,,1411.83,38.43,,,,,,583.82,852.54,24.53,,828.01,1411.83,475.76,,,,12.43,,,542.27,46.11,,,,
PNNT,2013-01-01,58.44,58.44,673.08,0.0,,,,,,,,1153.33,82.67,,,,,,455.82,756.08,58.58,,697.51,1153.33,312.7,,,,10.49,,,371.14,15.48,,,,
HRZN,2022-01-01,20.61,20.61,45.83,,,,,,,,,766.83,11.62,,,,,,448.38,385.95,67.5,,318.45,766.83,413.47,,16.72,,12.88,,,434.08,68.5,,,,
HRZN,2021-01-01,38.05,38.05,95.13,,,,,,,,,513.96,9.09,,,,,,268.63,301.38,56.05,,245.34,513.96,219.56,,10.96,,12.25,,,257.61,38.64,,,,
HRZN,2020-01-01,19.5,19.5,201.66,,,,,,,,,407.16,7.32,,,,,,194.56,271.31,58.71,,212.6,407.16,166.32,,9.49,,12.12,,,185.82,22.21,,,,
HRZN,2019-01-01,6.47,6.47,48.65,,,,,,,,,344.0,6.8,,,,,,159.95,226.68,42.62,,184.06,344.0,145.59,,10.8,,13.66,,,152.05,19.86,,,,
HRZN,2018-01-01,12.59,12.59,90.95,,,,,,,,,266.75,4.87,,,,,,132.49,179.63,45.37,,134.26,266.75,114.26,,9.91,,11.65,,,126.85,34.84,,,,
HRZN,2017-01-01,6.59,6.59,82.24,,,,,,,,,234.15,4.38,,,,,,99.07,179.65,44.58,,135.08,234.15,87.48,,7.6,,11.73,,,94.08,1.59,,,,
HRZN,2016-01-01,37.14,37.14,78.83,,,,,,,,,239.25,3.79,,,,,,100.06,179.56,40.37,,139.19,239.25,58.46,,5.06,,12.06,,,95.6,16.84,,,,
HRZN,2015-01-01,20.77,20.77,146.7,,,,,,,,,280.9,5.39,,,,,,121.15,179.72,19.97,,159.75,280.9,94.19,,8.42,,14.29,,,114.95,40.61,,,,
HRZN,2014-01-01,8.42,8.42,66.79,,,,,,,,,225.2,4.48,,,,,,86.95,155.25,17.0,,138.25,225.2,73.34,,7.62,,14.37,,,81.75,33.18,,,,
HRZN,2013-01-01,25.34,25.34,2318.03,,,,,,,,,263.74,4.61,,,,,,127.9,154.99,19.15,,135.84,263.74,97.0,,10.12,,14.17,,,122.34,37.43,,,,
PUYI,2022-01-01,313.06,318.06,4.43,76.7,,,394.76,43.54,1.11,24.53,69.18,463.94,11.67,1.5,142.07,167.13,13.5,36.76,203.89,248.61,11.84,0.39,260.05,463.94,282.91,6.25,3.13,227.63,4.31,0.0,11.89,35.15,13.33,23.26,5.0,,
PUYI,2021-01-01,332.78,332.78,3.76,70.54,,,403.33,41.35,1.6,21.63,64.58,467.9,12.3,0.0,104.29,130.29,0.0,17.31,147.6,248.4,72.71,0.81,320.3,467.9,301.77,6.77,3.34,273.03,5.31,0.0,13.71,31.02,40.28,17.31,0.0,,
PUYI,2020-01-01,288.89,345.79,20.01,47.44,,,393.22,26.95,0.36,12.18,39.49,432.71,9.04,0.42,30.66,47.52,0.0,14.71,62.23,247.18,120.31,0.47,367.96,430.19,323.68,25.12,3.58,345.7,6.1,0.0,7.4,22.11,,14.71,56.89,,
PUYI,2019-01-01,430.27,432.27,142.84,34.86,,,467.12,4.03,0.73,5.53,12.29,479.41,14.53,0.18,61.12,75.83,0.0,0.0,75.83,245.13,155.27,0.01,400.4,476.24,432.27,142.84,5.09,391.29,7.07,2.0,0.0,0.0,,0.0,2.0,,
PUYI,2018-01-01,112.0,178.01,149.73,36.57,,,214.57,0.89,0.7,4.7,11.29,225.87,9.81,0.0,22.41,32.21,0.0,0.0,32.21,77.39,107.41,0.0,184.79,217.01,178.01,149.73,2.23,182.36,3.46,5.0,0.0,0.0,,0.0,66.01,,
TYG,2022-01-01,,,,2.82,,,2.82,,,0.0,620.17,623.32,1.66,,0.0,1.66,110.6,1.66,176.7,0.01,164.21,0.0,446.62,623.32,112.26,,9.47,1.16,37.67,620.17,,112.26,8.96,112.26,,,
TYG,2021-01-01,,,,8.42,,,8.42,,,0.0,559.95,569.25,9.26,,0.0,9.26,93.77,9.26,154.3,0.01,208.89,0.0,414.94,569.25,103.03,,8.74,0.84,35.19,559.95,,103.03,1.98,103.03,,,
TYG,2020-01-01,,,,1.05,,,1.05,,,0.0,402.06,455.84,0.59,,0.0,0.59,100.45,0.59,150.21,0.01,342.63,0.0,305.63,455.84,101.03,,7.39,0.46,22.35,402.06,,101.03,77.96,101.03,,,
TYG,2019-01-01,,,,3.79,,,3.79,,,0.0,1664.98,1680.74,0.0,,0.0,0.0,458.46,0.0,0.0,0.05,233.12,0.0,930.29,1680.74,458.46,,34.2,3.79,69.4,1664.98,,458.46,5.77,458.46,,,
TYG,2018-01-01,,,,0.54,,,0.54,,,0.0,2120.17,2136.34,23.24,,0.0,23.24,463.27,23.24,876.04,0.05,424.53,0.0,1260.3,2136.34,486.52,,42.41,22.71,109.87,2120.17,,486.52,7.23,486.52,,,
TYG,2017-01-01,,,,9.34,,,9.34,,,0.0,2212.08,2235.31,11.5,,0.0,11.5,512.96,11.5,1053.79,0.05,239.16,418.4,1181.53,2235.31,524.46,,42.35,2.16,95.42,2212.08,,524.46,26.83,524.46,,,
TYG,2016-01-01,,,,10.2,,,10.2,,,451.7,3031.9,2593.7,4.1,,460.5,464.6,0.0,716.8,1181.4,0.0,659.3,217.6,1412.3,2593.7,716.8,,58.54,454.4,115.34,2580.2,,716.8,20.88,716.8,,,
TYG,2015-01-01,,,,0.5,,,0.5,,,446.4,3233.8,2793.9,4.6,,477.6,482.2,0.0,906.0,1388.2,0.0,579.5,244.2,1405.7,2793.9,906.0,,75.47,481.7,117.1,2787.4,,906.0,2.71,906.0,,,
TYG,2014-01-01,,,,11.6,,,11.6,,,996.9,5355.2,4375.6,6.7,,1068.6,1075.3,0.0,931.2,2006.5,0.0,369.7,804.6,2369.1,4375.6,931.2,,19.39,1063.7,49.34,4358.3,,931.2,128.46,931.2,,,
TYG,2013-01-01,,,,0.0,,,0.0,,,513.1,2694.5,2188.8,3.6,,531.8,535.4,0.0,407.6,943.0,0.0,235.0,705.7,1245.8,2188.8,407.6,,14.19,535.4,43.36,2181.4,,407.6,22.99,407.6,,,
ASA,2022-01-01,0.08,0.08,1.86,0.18,,0.0,0.26,,,0.0,325.9,326.26,0.0,,0.0,,,,0.69,19.29,304.91,0.0,325.57,326.26,0.08,1.86,0.0,0.26,16.88,325.9,,,,,,,
ASA,2021-01-01,0.08,0.08,93.89,0.24,,0.0,0.32,,,0.0,482.27,482.69,0.0,,0.0,,,,0.8,19.29,461.24,0.0,481.9,482.69,0.08,93.89,0.0,0.32,24.95,482.27,,,,,,,
ASA,2020-01-01,1.31,1.31,71.44,0.18,,0.0,1.49,,,0.0,463.12,464.74,0.0,,0.0,,,,0.0,19.29,443.27,0.0,463.94,464.74,1.31,71.44,0.07,1.49,24.05,463.12,,,,,,,
ASA,2019-01-01,4.58,4.58,32.85,0.12,,0.0,4.7,,,0.0,281.8,286.61,0.0,,0.0,,,,0.0,19.29,265.22,0.0,285.88,286.61,4.58,32.85,0.24,4.7,14.82,281.8,,,,,,,
ASA,2018-01-01,3.45,3.45,6.21,0.1,,3.55,0.0,,,192.34,0.0,196.07,0.18,,0.18,,,,1.24,19.29,174.17,0.0,194.83,196.07,3.45,6.21,0.18,0.0,10.1,192.34,,,,,,,
ASA,2017-01-01,3.68,3.68,14.04,0.72,,4.4,0.0,,,240.99,0.0,245.56,0.16,,0.16,,,,1.36,19.29,7.35,0.0,244.2,245.56,3.68,14.04,0.19,0.0,12.6,240.99,,,,,,,
ASA,2016-01-01,4.28,4.28,55.56,0.07,,4.35,0.0,,,240.47,0.0,245.02,0.16,,0.16,,,,1.79,19.29,9.79,0.0,243.23,245.02,4.28,55.56,0.22,0.0,12.62,240.47,,,,,,,
ASA,2015-01-01,2.75,2.75,44.26,0.09,,2.84,0.0,,,159.31,0.0,162.35,0.0,,0.0,,,,1.61,19.29,341.6,201.51,160.74,162.35,2.75,44.26,0.14,0.0,8.33,159.31,,,,,,,
ASA,2014-01-01,4.93,4.93,64.48,0.0,,4.93,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,140.44,0.0,0.0,4.93,64.48,0.26,0.0,,0.0,,,,,,,
ASA,2013-01-01,3.0,3.0,63.41,0.2,,3.2,0.0,,,248.8,0.0,252.1,0.0,,0.0,,,,1.8,19.3,353.1,123.4,250.3,252.1,3.0,63.41,0.16,0.0,12.98,248.8,,,,,,,
SCM,2022-01-01,48.04,48.04,8.76,0.75,,,,,,,,898.18,11.6,0.32,,,,,622.41,275.13,0.64,0.0,275.78,898.18,556.09,,28.44,,14.1,,,604.13,16.59,,,,
SCM,2021-01-01,44.17,44.17,139.07,0.59,,,,,,,,821.26,8.98,0.53,,,,,536.15,274.58,10.53,0.0,285.11,821.26,474.0,,24.32,,14.63,,,518.17,31.78,,,,
SCM,2020-01-01,18.48,18.48,14.53,0.24,,,,,,,,674.91,4.42,0.52,,,,,401.55,276.05,2.69,0.0,273.36,674.91,374.73,,19.24,,14.04,,,393.2,7.42,,,,
SCM,2019-01-01,16.13,16.13,7.64,0.15,,,,,,,,648.51,5.61,0.56,,,,,377.94,272.14,1.57,0.0,270.57,648.51,349.9,,19.15,,14.8,,,366.03,25.24,,,,
SCM,2018-01-01,17.47,17.47,30.44,0.18,,,,,,,,526.29,4.59,0.41,,,,,301.44,228.18,3.33,0.0,224.85,526.29,274.8,,17.22,,14.09,,,292.27,67.53,,,,
SCM,2017-01-01,25.11,25.11,173.12,0.03,,,,,,,,400.26,2.32,0.14,,,,,180.01,231.53,11.22,0.06,220.25,400.26,149.35,,10.04,,14.81,,,174.46,14.09,,,,
SCM,2016-01-01,9.19,9.19,15.46,0.0,,,,,,,,379.88,3.23,0.02,,,,,209.0,181.01,13.53,3.4,170.88,379.88,193.89,,15.54,,13.69,,,203.08,3.83,,,,
SCM,2015-01-01,10.88,10.88,431.42,0.02,,,,,,,,365.37,2.52,0.04,,,,,200.72,181.01,0.78,15.58,164.65,365.37,184.72,,14.8,,13.19,,,195.59,32.38,,,,
SCM,2014-01-01,2.05,2.05,85.02,0.0,,,,,,,,327.06,3.07,0.16,,,,,153.11,181.01,0.78,6.28,173.95,327.06,145.7,,11.86,,14.16,,,147.75,24.16,,,,
SCM,2013-01-01,13.66,13.66,78.01,0.04,,,,,,,,298.13,2.59,0.15,,,,,122.24,175.63,0.24,0.5,175.89,298.13,105.34,,8.73,,14.59,,,119.0,43.37,,,,
SAR,2022-01-01,96.08,96.08,81.72,0.36,,,,,,,,1078.16,13.61,,,,,,731.2,321.91,25.05,0.0,346.96,1078.16,615.05,,51.41,,29.0,,,711.13,42.54,,,,
SAR,2021-01-01,52.87,52.87,76.73,0.45,,,,,,,,876.24,14.08,,,,,,520.46,328.07,27.71,0.0,355.78,876.24,446.01,,38.93,,31.05,,,498.88,82.04,,,,
SAR,2020-01-01,29.92,29.92,24.17,2.75,,,,,,,,592.15,8.66,,,,,,287.97,304.89,0.7,0.0,304.19,592.15,244.13,,21.82,,27.19,,,274.05,33.76,,,,
SAR,2019-01-01,39.45,39.45,36.47,0.27,,,,,,,,530.87,18.12,,,,,,226.58,289.49,14.8,0.0,304.29,530.87,165.43,,17.75,,32.65,,,204.88,26.08,,,,
SAR,2018-01-01,62.09,62.09,350.69,2.22,,,,,,,,470.67,8.68,,,,,,289.8,203.56,22.69,0.0,180.88,470.67,215.06,,30.52,,25.67,,,277.15,34.22,,,,
SAR,2017-01-01,13.78,13.78,37.62,0.23,,,,,,,,360.34,7.16,,,,,,216.64,188.98,45.29,0.0,143.69,360.34,192.71,,31.99,,23.85,,,206.49,13.78,,,,
SAR,2016-01-01,22.09,22.09,213.98,0.42,,,,,,,,318.65,7.12,,,,,,191.36,190.49,55.37,7.82,127.29,318.65,159.39,,27.77,,22.18,,,181.48,12.89,,,,
SAR,2015-01-01,7.03,7.03,64.94,0.47,,,,,,,,295.05,6.7,,,,,,169.9,188.72,26.22,37.35,125.15,295.05,153.71,,27.54,,22.42,,,160.75,21.67,,,,
SAR,2014-01-01,20.06,20.06,204.59,0.17,,,,,,,,263.56,7.04,,,,,,140.96,184.88,23.91,38.38,122.6,263.56,112.05,,20.81,,22.77,,,132.12,40.12,,,,
SAR,2013-01-01,6.59,6.59,46.16,0.15,,,,,,,,215.17,6.58,,,,,,101.74,184.86,31.12,40.3,113.43,215.17,87.7,,17.82,,23.05,,,94.29,56.37,,,,
NEWT,2022-01-01,125.61,125.61,32.78,0.0,,,,6.48,30.27,,,998.9,21.42,0.0,,,,,623.54,354.74,20.62,0.0,375.36,998.9,421.69,,,,15.37,,,547.3,13.71,,,,
NEWT,2021-01-01,186.86,186.86,263.36,48.93,,,,7.31,28.01,,,1056.56,12.43,0.0,,,,,652.67,368.15,35.74,0.0,403.89,1056.56,294.43,,12.92,,17.72,,,481.29,4.52,,,,
NEWT,2020-01-01,51.43,51.43,54.86,58.84,,,,6.93,26.06,,,840.98,11.86,0.0,,,,,501.63,317.07,22.29,0.0,339.35,840.98,409.05,,19.34,,16.05,,,460.48,4.22,,,,
NEWT,2019-01-01,33.21,33.21,5.92,54.15,,,,7.99,24.41,,,797.41,20.96,0.0,,,,,475.19,290.37,31.85,0.0,322.23,797.41,408.62,,21.14,,16.67,,,441.83,33.23,,,,
NEWT,2018-01-01,31.35,31.35,52.64,45.85,,,,0.0,21.36,,,653.34,25.03,0.0,,,,,365.9,254.88,32.57,0.0,287.45,653.34,300.28,,16.05,,15.36,,,331.63,53.35,,,,
NEWT,2017-01-01,20.54,20.54,10.3,10.79,,,,0.0,19.36,,,519.61,16.87,0.0,,,,,241.28,247.73,30.6,0.0,278.33,519.61,195.71,,11.3,,16.06,,,216.25,26.28,,,,
NEWT,2016-01-01,22.9,22.9,15.75,6.15,,,,0.0,16.25,,,401.45,15.13,0.0,,,,,192.36,188.77,7.32,13.01,209.09,401.45,148.35,,10.2,,14.38,,,171.24,29.12,,,,
NEWT,2015-01-01,27.18,27.18,7.51,35.14,,,,0.0,13.04,,,352.43,9.2,0.0,,,,,148.48,189.32,4.44,10.19,203.95,352.43,105.44,,9.79,,18.94,,,132.62,25.54,,,,
NEWT,2013-01-01,29.39,29.39,29.53,25.21,,,,3.74,20.11,,,198.61,14.69,1.27,,,,,121.6,60.81,14.54,0.0,75.34,196.95,76.26,,10.06,,10.67,,,105.64,48.38,,,,
NEWT,2012-01-01,22.69,22.69,10.79,27.57,,,,3.52,18.33,,,152.74,11.21,1.44,,,,,83.84,59.84,7.01,0.0,66.85,150.69,48.51,,6.6,,9.41,,,71.2,25.17,,,,
WHF,2022-01-01,24.19,24.19,9.96,8.81,,,,,,,,796.47,20.06,,,,,,464.09,339.26,6.88,0.0,332.39,796.47,417.06,,17.95,,14.31,,,441.25,7.45,,,,
WHF,2021-01-01,22.0,22.0,40.92,8.04,,,,,,,,851.02,22.38,,,,,,501.27,339.18,10.57,0.0,349.75,851.02,454.8,,21.5,,16.54,,,476.8,23.76,,,,
WHF,2020-01-01,15.61,15.61,43.33,11.25,,,,,,,,718.99,18.97,,,,,,406.09,300.02,12.87,0.0,312.9,718.99,369.64,,17.99,,15.23,,,385.25,28.82,,,,
WHF,2019-01-01,27.55,27.55,18.34,6.37,,,,,,,,631.22,17.53,,,,,,318.27,300.77,12.19,0.0,312.96,631.22,271.52,,13.22,,15.23,,,299.07,69.94,,,,
WHF,2018-01-01,33.73,33.73,13.37,5.61,,,,,,,,514.1,21.25,,,,,,198.8,301.58,13.72,0.0,315.3,514.1,142.25,,6.93,,15.35,,,175.98,3.42,,,,
WHF,2017-01-01,38.94,38.94,34.75,0.78,,,,,,,,485.53,15.84,,,,,,198.58,302.31,15.36,0.0,286.95,485.53,143.28,,7.37,,14.77,,,182.21,0.07,,,,
WHF,2016-01-01,28.89,28.89,26.9,0.88,,,,,,,,446.23,14.03,,,,,,196.85,272.26,5.42,17.45,249.39,446.23,153.44,,8.38,,13.63,,,182.34,0.62,,,,
WHF,2015-01-01,22.77,22.77,41.05,0.0,,,,,,,,441.71,14.18,,,,,,197.66,271.7,6.24,21.4,244.05,441.71,160.71,,10.49,,15.93,,,183.48,3.68,,,,
WHF,2014-01-01,16.14,16.14,83.18,0.0,,,,,,,,426.84,10.98,,,,,,201.48,228.75,3.39,0.0,225.36,426.84,174.36,,11.64,,15.04,,,190.5,73.18,,,,
WHF,2013-01-01,95.98,95.98,48.88,0.0,,,,,,,,374.15,37.15,,,,,,147.15,228.66,1.66,0.0,227.0,374.15,14.02,,0.94,,15.16,,,110.0,22.12,,,,
BKCC,2022-01-01,9.53,9.53,25.25,7.47,,,,,,,,589.06,6.19,,,,,,270.54,776.91,458.39,0.0,318.52,589.06,244.21,,3.01,,4.34,,,253.74,28.49,,,,
BKCC,2021-01-01,12.75,12.75,45.36,4.36,,,,,,,,571.98,15.52,,,,,,222.32,783.96,434.3,0.0,349.65,571.98,184.73,,2.03,,4.71,,,197.48,9.53,,,,
BKCC,2020-01-01,23.33,23.33,58.96,7.58,,,,,,,,511.72,13.36,,,,,,196.71,791.87,476.86,0.0,315.01,511.72,156.97,,1.81,,4.51,,,180.3,42.5,,,,
BKCC,2019-01-01,14.68,14.68,8.75,7.58,,,,,,,,774.06,22.81,,,,,,338.45,786.65,351.04,0.0,435.61,774.06,298.89,,3.48,,6.33,,,313.57,68.23,,,,
BKCC,2018-01-01,13.5,13.5,53.48,5.78,,,,,,,,693.63,17.76,,,,,,206.61,791.13,304.11,0.0,487.02,693.63,172.9,,1.96,,6.82,,,186.4,9.81,,,,
BKCC,2017-01-01,29.01,29.01,170.97,9.69,,,,,,,,799.88,19.19,,,,,,228.78,820.43,249.33,0.0,571.1,799.88,177.65,,1.95,,7.83,,,206.66,38.43,,,,
BKCC,2016-01-01,10.71,10.71,13.75,11.2,,,,,,,,957.07,23.4,,,,,,360.75,841.08,152.49,92.26,596.32,957.07,324.96,,3.93,,8.2,,,335.67,7.42,,,,
BKCC,2015-01-01,12.41,12.41,20.22,1.41,,,,,,,,1148.39,21.55,,,,,,394.64,853.21,60.94,38.51,753.75,1148.39,350.14,,4.14,,10.11,,,362.55,19.11,,,,
BKCC,2014-01-01,10.33,10.33,44.11,10.36,,,,,,,,1302.06,58.91,,,,,,520.1,867.75,206.1,120.31,781.96,1302.06,437.9,,5.19,,10.49,,,448.23,6.22,,,,
BKCC,2013-01-01,18.47,18.47,102.53,22.76,,,,,,,,1281.65,80.87,,,,,,571.94,885.25,306.07,130.52,709.7,1281.65,459.51,,5.56,,9.57,,,477.98,37.81,,,,
SWKH,2022-01-01,6.16,6.16,85.98,3.09,,1.11,10.36,5.84,16.59,28.97,289.26,299.62,15.1,,11.2,6.35,13.35,13.35,19.69,4430.93,4151.01,0.0,279.93,299.62,3.71,91.54,0.29,4.02,21.81,237.85,2.45,2.45,30462.5,0.0,0.0,,
SWKH,2021-01-01,42.86,43.9,940.71,1.8,,1.73,47.43,5.78,18.37,22.51,235.24,282.67,13.62,,8.53,5.1,10.33,10.33,15.43,4431.73,4164.5,0.0,267.24,282.67,43.89,,3.42,42.33,20.88,188.58,0.01,0.01,99.93,0.0,1.03,,
SWKH,2020-01-01,3.01,4.22,67.45,1.91,,0.54,6.67,5.21,21.86,28.97,267.23,273.9,20.55,,16.9,15.41,17.98,17.98,33.39,4430.94,4190.43,0.0,240.51,273.9,7.54,,0.59,8.74,18.71,211.2,11.76,11.76,,0.0,1.21,,
SWKH,2019-01-01,11.16,12.96,35.93,2.55,,0.78,16.3,1.29,33.52,26.42,238.08,254.37,17.56,,14.5,3.06,14.78,14.78,17.84,4432.16,4195.63,0.0,236.53,254.37,12.96,35.93,1.0,13.24,18.33,176.85,0.0,0.0,,0.0,1.8,,
SWKH,2018-01-01,20.23,20.23,33.81,2.2,,0.14,22.56,0.03,0.0,23.16,193.1,215.66,2.58,,0.0,2.58,0.02,0.02,2.61,4432.51,4219.46,0.0,213.06,215.66,20.23,33.81,1.55,19.98,16.32,169.92,0.0,0.0,,0.0,0.0,,
SWKH,2017-01-01,30.56,30.56,5.05,1.64,,,,0.0,0.0,,,209.88,1.84,,,,,,1.93,4433.6,4225.86,0.21,207.95,209.88,30.56,5.05,2.34,,15.95,,,0.0,,,,,
SWKH,2016-01-01,32.18,32.18,31.94,1.05,,,,0.0,0.0,,,208.93,0.68,,,,,,0.87,4433.3,4228.91,0.09,204.31,205.18,32.18,31.94,2.47,,15.7,,,0.0,,,,,
SWKH,2015-01-01,47.29,47.29,19.48,1.13,,,,0.0,0.0,,,180.49,0.79,,,,,,1.05,4432.94,4257.8,0.0,175.14,176.19,47.29,19.48,3.64,,13.49,,,0.0,,,,,
SWKH,2014-01-01,58.73,58.73,666.28,94.4,,82.06,71.07,0.0,0.0,103.26,117.15,188.22,0.86,,0.0,0.86,0.42,0.42,1.29,4432.5,4250.43,0.0,182.07,183.35,58.73,2104.5,9.05,70.2,28.07,13.89,0.0,0.0,,0.0,0.0,,
SWKH,2013-01-01,7.66,7.66,70.04,29.81,,28.45,9.03,0.0,0.0,39.0,52.54,61.58,0.36,,0.0,0.36,0.3,5.3,5.66,4321.5,4271.19,0.0,50.3,55.96,2.66,89.59,0.64,8.67,12.17,13.54,0.0,5.0,,5.0,0.0,,
SCU,2022-01-01,276.57,276.57,32.98,89.21,,,,75.86,,,,1652.21,127.21,53.87,,,,,1027.76,223.37,276.15,0.12,52.9,974.86,302.39,,11.51,,2.1,,,578.96,49.34,,,,
SCU,2021-01-01,412.67,412.67,120.71,221.67,,,,85.74,,,,1627.86,246.26,62.8,,,,,1014.97,185.28,253.52,0.05,68.19,946.79,25.0,,0.61,,2.73,,,387.68,32.32,,,,
SCU,2020-01-01,186.98,186.98,23.82,553.71,,,,104.73,,,,1583.18,234.01,61.88,,,,,1148.3,167.47,178.67,0.73,10.47,1137.83,385.87,,7.74,,0.46,,,572.85,11.82,,,,
