symbol,date,market_capitalization,market_cap_growth,enterprise_value,pe_ratio,ps_ratio,pb_ratio,p_over_fcf_ratio,p_over_ocf_ratio,ev_over_sales_ratio,ev_over_ebitda_ratio,ev_over_ebit_ratio,ev_over_fcf_ratio,current_ratio,asset_turnover,return_on_equity_roe,return_on_assets_roa,return_on_capital_roic,earnings_yield,fcf_yield,buyback_yield_or_dilution,total_shareholder_return,debt_or_equity_ratio,debt_or_ebitda_ratio,debt_or_fcf_ratio,dividend_yield,payout_ratio,revenue,revenue_growth_yoy,gross_profit,selling_general_and_admin,other_operating_expenses,operating_expenses,operating_income,pretax_income,income_tax,net_income,preferred_dividends,net_income_common,net_income_growth,shares_outstanding_basic,shares_outstanding_diluted,shares_change,eps_basic,eps_diluted,eps_growth,free_cash_flow_per_share,gross_margin,operating_margin,profit_margin,free_cash_flow_margin,effective_tax_rate,ebitda,ebitda_margin,depreciation_and_amortization,ebit,ebit_margin
MYFW,2022-01-01,267.0,9.57,270.0,12.31,2.48,1.11,5.9,5.53,2.5,8.75,9.36,5.95,,0.04,9.4,0.8,1.1,8.12,16.96,18.17,18.17,0.83,6.45,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYFW,2021-01-01,244.0,56.71,65.0,11.83,2.56,1.11,1.52,1.5,0.69,2.29,2.4,0.41,,0.04,11.4,0.9,1.4,8.45,65.78,1.01,1.01,0.35,2.72,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYFW,2020-01-01,156.0,18.31,173.0,6.34,1.68,1.0,1.65,1.67,1.87,5.08,5.25,1.84,,0.05,17.1,1.4,1.9,15.77,60.74,0.43,0.43,1.12,5.09,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYFW,2019-01-01,132.0,40.96,69.0,16.42,2.06,1.03,6.0,6.11,1.09,5.85,6.81,3.17,,0.05,6.5,0.7,0.9,6.09,16.67,0.22,0.22,0.13,1.4,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYFW,2018-01-01,93.0,,42.0,21.86,1.62,0.8,5.46,5.24,0.72,4.3,5.59,2.43,,0.06,3.9,0.4,0.7,4.58,18.31,7.42,7.42,0.18,2.24,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYFW,2017-01-01,,,32.0,,,,,,0.6,4.36,6.49,5.48,,0.06,0.3,0.0,0.5,,,,,0.41,5.63,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCFC,2022-01-01,225.0,0.09,317.0,7.96,2.91,1.21,6.65,6.36,4.09,7.85,8.35,9.34,,0.03,15.2,1.2,1.6,12.57,15.05,1.39,3.14,0.62,2.9,3.44,1.75,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCFC,2021-01-01,225.0,43.72,135.0,8.69,3.05,1.08,7.36,6.78,1.84,3.66,3.92,4.43,,0.03,12.7,1.2,1.6,11.5,13.58,3.19,4.65,0.24,1.35,1.64,1.46,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCFC,2020-01-01,157.0,21.17,146.0,9.7,2.67,0.79,5.63,5.58,2.5,6.26,7.1,5.26,,0.03,8.4,0.8,1.0,10.3,17.77,5.89,4.0,0.34,2.86,2.4,1.89,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCFC,2019-01-01,199.0,21.8,255.0,13.01,3.48,1.09,13.35,12.66,4.46,10.96,12.18,17.14,,0.03,9.1,0.9,1.2,7.69,7.49,0.12,1.28,0.49,3.82,5.97,1.41,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCFC,2018-01-01,163.0,8.42,220.0,14.53,3.05,1.06,9.25,8.41,4.12,12.34,14.32,12.51,,0.03,7.5,0.7,0.9,6.88,10.81,19.96,18.59,0.59,5.06,5.13,1.37,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCFC,2017-01-01,178.0,31.85,341.0,24.71,3.84,1.62,19.1,17.63,7.34,18.96,20.82,36.54,,0.03,6.6,0.5,1.1,4.05,5.24,0.17,1.21,1.62,9.91,19.09,1.04,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCFC,2016-01-01,135.0,36.8,303.0,18.42,3.27,1.29,15.1,10.46,7.34,22.82,25.82,33.91,,0.03,7.1,0.6,0.8,5.43,6.62,1.12,2.5,1.72,13.51,20.07,1.38,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCFC,2015-01-01,99.0,4.92,214.0,15.62,2.57,0.99,10.91,7.9,5.58,18.77,21.47,23.68,,0.03,6.4,0.6,0.8,6.4,9.16,0.47,0.97,1.27,11.09,14.0,1.43,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCFC,2014-01-01,94.0,2.23,161.0,14.96,2.58,0.81,11.37,8.85,4.42,13.96,15.72,19.5,,0.04,5.5,0.6,0.9,6.68,8.8,0.89,1.11,0.76,7.67,10.71,1.99,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCFC,2013-01-01,96.0,98.52,154.0,14.92,2.73,0.87,12.88,11.31,4.37,13.18,14.8,20.64,,0.04,7.3,0.7,1.0,6.7,7.76,53.19,50.77,0.74,7.05,11.04,2.41,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVBC,2022-01-01,129.0,61.31,179.0,6.01,5.21,0.62,5.96,5.89,7.25,6.86,6.58,8.29,,0.01,9.7,1.2,1.6,16.64,16.78,4.74,6.27,0.63,5.01,6.06,1.53,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVBC,2021-01-01,333.0,43.03,198.0,20.66,5.32,1.43,13.95,13.71,3.16,8.57,8.97,8.29,,0.04,6.9,1.0,1.5,4.84,7.17,4.57,5.35,0.08,0.77,0.75,0.78,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVBC,2020-01-01,233.0,3.91,167.0,19.45,4.45,0.99,13.5,12.82,3.19,9.45,10.07,9.69,,0.04,5.1,0.8,1.2,5.14,7.41,0.35,0.35,0.08,1.02,1.04,0.7,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVBC,2019-01-01,243.0,16.14,212.0,22.45,5.75,1.05,21.38,13.86,5.02,13.23,14.49,18.66,,0.04,6.9,1.0,1.4,4.46,4.68,3.95,3.95,0.13,1.8,2.54,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVBC,2018-01-01,209.0,17.98,248.0,22.4,5.5,1.66,14.55,12.47,6.54,18.42,19.76,17.3,,0.04,7.7,1.0,1.3,4.46,6.87,1.16,1.16,0.54,5.05,4.74,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVBC,2017-01-01,255.0,49.78,234.0,32.17,6.52,2.2,42.09,26.87,5.98,14.48,15.25,38.65,,0.04,6.9,0.9,1.7,3.11,2.38,0.26,0.26,0.23,1.66,4.44,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVBC,2016-01-01,170.0,37.8,209.0,26.82,5.7,1.56,21.98,19.75,7.01,20.52,22.34,27.04,,0.04,5.9,0.8,1.2,3.73,4.55,3.39,3.39,0.46,4.89,6.45,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVBC,2015-01-01,123.0,,160.0,33.75,4.7,1.22,24.65,18.09,6.1,27.97,31.95,32.04,,0.04,3.9,0.5,0.7,2.96,4.06,,,0.57,10.02,11.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVBC,2014-01-01,,,30.0,,,,,,1.27,4.49,5.08,4.2,,0.04,6.0,0.7,0.9,,,,,0.52,5.94,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSA,2022-01-01,201.0,16.37,416.0,10.03,2.95,0.95,9.1,8.87,6.09,15.3,16.64,18.79,,0.04,9.5,1.1,1.4,9.97,10.99,1.03,3.82,1.14,8.92,10.96,2.78,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSA,2021-01-01,173.0,28.15,19.0,10.54,2.81,0.86,9.12,8.93,0.31,0.86,0.96,1.0,,0.03,8.3,0.9,1.2,9.49,10.97,4.18,7.03,0.02,0.22,0.26,2.85,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSA,2020-01-01,135.0,27.93,113.0,9.37,2.32,0.71,7.22,6.84,1.94,5.7,6.41,6.04,,0.03,7.5,0.8,0.9,10.68,13.84,4.02,7.59,0.7,6.75,7.15,3.57,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSA,2019-01-01,187.0,2.28,390.0,14.84,3.53,0.99,10.79,10.3,7.35,23.74,25.94,22.47,,0.03,6.8,0.7,0.7,6.74,9.27,3.24,5.67,1.35,15.52,14.69,2.44,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSA,2018-01-01,192.0,5.31,453.0,29.36,3.68,1.07,8.18,8.2,8.7,32.73,37.15,19.34,,0.03,3.7,0.4,0.6,3.41,12.22,1.68,0.53,1.7,22.06,13.03,2.21,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSA,2017-01-01,182.0,15.54,457.0,24.81,3.61,1.0,9.66,9.34,9.07,41.98,51.14,24.24,,0.03,4.1,0.4,0.4,4.03,10.35,1.77,0.52,1.73,29.12,16.82,2.29,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSA,2016-01-01,158.0,6.53,478.0,20.39,2.96,0.89,9.24,8.68,8.98,37.51,46.33,28.0,,0.03,4.4,0.4,0.5,4.9,10.83,0.17,2.77,2.07,28.66,21.39,2.6,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSA,2015-01-01,148.0,11.32,452.0,15.11,2.98,0.86,8.01,7.65,9.11,30.74,35.47,24.49,,0.03,5.7,0.6,0.7,6.62,12.48,2.94,5.56,1.9,22.08,17.59,2.62,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSA,2014-01-01,133.0,5.56,372.0,15.62,2.94,0.79,9.63,9.18,8.23,27.34,32.66,26.99,,0.03,5.1,0.6,0.7,6.4,10.38,2.66,4.96,1.57,19.35,19.1,2.3,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSA,2013-01-01,126.0,0.3,255.0,14.27,2.85,0.76,5.62,5.43,5.77,18.46,21.85,11.38,,0.03,5.2,0.6,0.8,7.01,17.79,0.01,1.91,0.94,11.4,7.02,1.92,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAL,2022-01-01,182.0,15.47,177.0,11.64,3.36,1.42,6.83,6.62,3.28,8.54,9.26,6.66,,0.04,12.3,1.0,1.3,8.59,14.64,1.06,1.49,0.36,2.22,1.74,2.55,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAL,2021-01-01,157.0,48.42,29.0,9.69,2.98,1.15,9.84,8.71,0.55,1.32,1.42,1.82,,0.04,12.3,1.1,1.5,10.32,10.16,0.65,1.55,0.35,2.17,2.99,2.2,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAL,2020-01-01,106.0,17.81,44.0,9.0,2.44,0.85,11.23,7.68,1.0,2.78,3.06,4.62,,0.04,9.8,0.9,1.2,11.11,8.9,2.2,0.91,0.25,2.01,3.34,3.11,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAL,2019-01-01,129.0,27.05,173.0,11.75,3.04,1.13,10.5,9.0,4.07,11.56,12.94,14.06,,0.04,10.0,1.0,1.2,8.51,9.52,0.5,1.92,0.63,4.77,5.8,2.43,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAL,2018-01-01,101.0,18.42,127.0,11.65,2.51,0.98,8.54,7.64,3.16,10.55,12.23,10.73,,0.04,8.7,0.8,0.9,8.59,11.71,0.22,2.85,0.82,6.99,7.11,3.07,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAL,2017-01-01,124.0,20.27,144.0,20.06,3.23,1.28,15.07,12.19,3.74,13.64,15.79,17.44,,0.04,6.4,0.6,0.9,4.99,6.63,0.91,1.59,0.7,6.45,8.25,2.5,49.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAL,2016-01-01,103.0,13.03,121.0,15.59,2.82,1.1,10.36,9.17,3.31,11.65,13.14,12.14,,0.04,7.1,0.7,1.0,6.41,9.66,0.95,2.02,0.57,5.12,5.33,2.98,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAL,2015-01-01,92.0,95.36,71.0,11.12,2.41,1.01,12.52,11.31,1.87,5.44,6.01,9.69,,0.04,8.2,0.9,1.4,8.99,7.99,54.28,50.94,0.46,3.18,5.67,3.33,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAL,2014-01-01,47.0,2.36,44.0,20.12,1.85,0.46,20.74,10.61,1.75,11.12,15.02,19.54,,0.04,2.9,0.3,0.4,4.97,4.82,3.15,1.07,0.33,8.42,14.79,4.22,84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAL,2013-01-01,46.0,16.04,66.0,11.67,1.91,0.63,5.01,4.72,2.75,11.55,13.6,7.19,,0.04,5.5,0.7,0.8,8.57,19.96,1.21,2.98,0.46,5.87,3.66,4.19,48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVBN,2022-01-01,206.0,6.42,419.0,9.21,2.3,1.34,8.12,7.81,4.68,14.18,14.18,16.5,,0.04,14.1,1.0,1.3,10.86,12.32,0.63,2.75,1.53,7.98,9.29,3.38,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVBN,2021-01-01,220.0,48.58,49.0,9.16,2.37,1.2,10.98,10.74,0.52,1.53,1.53,2.43,,0.04,13.6,1.1,1.6,10.91,9.11,4.42,1.42,0.4,2.29,3.65,3.0,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVBN,2020-01-01,148.0,24.9,136.0,13.19,2.04,0.88,42.79,19.04,1.87,10.62,10.62,39.26,,0.04,7.0,0.6,0.7,7.58,2.34,6.05,1.92,0.51,6.66,24.63,4.12,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVBN,2019-01-01,197.0,25.72,186.0,11.61,2.82,1.33,11.88,9.37,2.66,8.39,8.39,11.22,,0.05,12.0,1.2,1.6,8.62,8.42,0.7,1.92,0.19,1.25,1.68,2.62,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVBN,2018-01-01,157.0,21.57,142.0,9.6,2.54,1.19,6.54,6.25,2.29,7.6,7.6,5.9,,0.05,13.1,1.2,1.4,10.41,15.29,1.5,1.39,0.19,1.31,1.02,2.89,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVBN,2017-01-01,200.0,47.88,288.0,19.11,3.69,1.69,15.41,14.86,5.3,18.34,18.34,22.14,,0.05,9.0,0.9,1.3,5.23,6.49,11.52,9.58,0.92,6.94,8.38,1.94,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVBN,2016-01-01,135.0,23.73,172.0,16.37,2.99,1.4,13.42,11.73,3.8,16.87,16.87,17.05,,0.04,8.7,0.8,1.0,6.11,7.45,1.19,1.26,0.51,4.87,4.93,2.45,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVBN,2015-01-01,109.0,7.45,119.0,13.96,2.47,1.2,17.62,13.52,2.69,10.25,10.25,19.16,,0.05,8.8,0.9,1.3,7.17,5.67,1.01,1.83,0.35,2.77,5.18,2.83,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVBN,2014-01-01,102.0,15.05,130.0,12.44,2.54,1.19,9.76,9.24,3.23,14.59,14.59,12.43,,0.05,9.8,1.0,1.1,8.04,10.25,0.6,2.12,0.45,4.36,3.72,2.72,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVBN,2013-01-01,89.0,37.39,80.0,11.27,2.27,1.1,7.37,6.76,2.06,8.37,8.37,6.68,,0.05,10.0,1.0,1.2,8.87,13.57,1.91,0.66,0.42,3.51,2.8,1.24,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGBI,2022-01-01,251.0,15.08,351.0,9.46,2.34,1.07,7.33,6.82,3.27,8.68,9.66,10.25,,0.04,11.6,0.9,1.2,10.57,13.65,,2.73,0.78,4.53,5.35,2.73,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGBI,2021-01-01,218.0,26.16,6.0,8.43,2.22,0.98,8.95,8.23,0.06,0.16,0.18,0.25,,0.04,12.4,0.9,1.3,11.87,11.17,0.48,2.92,0.22,1.27,2.03,2.92,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGBI,2020-01-01,173.0,18.38,10.0,8.52,2.07,0.97,9.85,7.29,0.12,0.34,0.39,0.56,,0.04,11.4,0.8,1.1,11.74,10.15,0.1,3.13,0.65,3.98,6.64,3.6,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGBI,2019-01-01,212.0,3.75,231.0,14.89,3.26,1.28,12.36,7.29,3.55,11.04,12.93,13.49,,0.03,8.9,0.7,1.0,6.71,8.09,,2.63,0.52,4.14,5.06,2.73,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGBI,2018-01-01,204.0,7.17,111.0,14.38,3.35,1.39,8.83,7.6,1.82,5.29,6.28,4.79,,0.04,10.0,0.8,1.0,6.95,11.32,5.22,2.76,0.23,1.65,1.49,2.76,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGBI,2017-01-01,220.0,20.94,235.0,18.74,3.82,1.53,39.95,17.94,4.08,10.89,12.28,42.65,,0.03,8.5,0.7,1.1,5.34,2.5,8.49,8.73,0.37,2.45,9.6,13.95,262.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGBI,2016-01-01,182.0,28.1,207.0,12.92,3.36,1.46,9.54,8.2,3.83,8.84,9.75,10.86,,0.04,11.2,1.0,1.4,7.74,10.48,1.35,5.81,0.35,1.84,2.27,2.68,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGBI,2015-01-01,142.0,,146.0,10.07,2.7,1.2,11.09,8.26,2.78,6.23,6.8,11.4,,0.04,10.1,0.9,1.5,9.94,9.02,,0.56,0.36,1.8,3.29,0.79,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGBI,2014-01-01,,,52.0,,,,,,1.07,2.73,3.08,3.33,,0.03,8.0,0.7,1.2,,,0.03,,0.02,0.17,0.21,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGBI,2013-01-01,,,56.0,,,,,,1.25,3.53,4.08,3.63,,0.03,6.7,0.6,1.0,,,,0.03,0.05,0.4,0.41,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNEB,2022-01-01,210.0,5.53,242.0,8.1,2.28,0.92,6.0,5.81,2.63,6.48,6.98,6.91,,0.04,11.8,1.0,1.4,12.34,16.66,5.85,8.36,0.27,1.67,1.78,2.51,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNEB,2021-01-01,199.0,13.03,118.0,8.39,2.29,0.89,8.24,7.22,1.36,3.42,3.71,4.88,,0.04,10.7,0.9,1.3,11.92,12.13,7.03,9.37,0.1,0.65,0.92,2.34,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNEB,2020-01-01,176.0,31.24,146.0,15.68,2.67,0.78,8.16,7.02,2.22,8.77,10.33,6.79,,0.03,4.9,0.5,0.6,6.38,12.25,4.72,7.57,0.26,3.47,2.68,2.85,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNEB,2019-01-01,256.0,13.09,472.0,19.16,3.94,1.1,18.11,16.63,7.25,23.99,27.41,33.39,,0.03,5.8,0.6,0.7,5.22,5.52,9.39,11.45,1.04,12.24,17.03,2.06,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNEB,2018-01-01,294.0,11.85,535.0,17.94,4.37,1.24,13.75,11.95,7.94,22.72,25.34,24.98,,0.03,6.8,0.8,0.9,5.57,7.27,3.32,4.9,1.13,11.35,12.48,1.58,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNEB,2017-01-01,334.0,18.06,616.0,27.1,5.02,1.35,20.06,17.7,9.26,25.58,28.33,37.01,,0.03,4.9,0.6,0.9,3.69,4.99,51.62,50.54,1.25,12.85,18.59,1.08,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNEB,2016-01-01,283.0,83.5,510.0,58.51,6.62,1.19,526.7,304.13,11.94,57.25,68.86,949.33,,0.03,2.9,0.3,0.4,1.71,0.19,13.18,12.34,1.25,33.37,553.42,0.84,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNEB,2015-01-01,154.0,13.13,422.0,26.97,4.37,1.11,17.32,12.76,11.97,46.12,53.86,47.44,,0.03,4.1,0.4,0.5,3.71,5.77,3.77,5.14,2.02,30.78,31.66,1.36,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNEB,2014-01-01,136.0,11.58,444.0,22.11,4.01,0.96,13.04,11.04,13.08,48.08,55.19,42.48,,0.03,4.2,0.5,0.5,4.52,7.67,9.44,12.24,2.29,35.36,31.24,2.8,61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNEB,2013-01-01,154.0,14.01,431.0,22.81,4.37,1.0,11.69,10.85,12.22,44.29,49.95,32.69,,0.03,4.2,0.5,0.5,4.38,8.55,18.11,21.89,1.92,30.48,22.5,3.78,85.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCCO,2022-01-01,166.0,5.25,287.0,11.34,2.78,1.4,7.55,7.49,4.81,14.18,15.58,13.08,,0.04,12.3,0.9,1.1,8.82,13.24,0.37,2.0,1.34,7.84,7.23,2.38,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCCO,2021-01-01,157.0,23.71,161.0,10.18,2.68,1.12,2.69,2.72,2.73,7.45,8.17,2.74,,0.04,11.2,1.0,1.3,9.82,37.18,0.69,1.61,0.51,3.35,1.23,2.3,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCCO,2020-01-01,127.0,20.63,121.0,12.61,2.54,0.93,7.02,7.47,2.42,8.31,9.63,6.69,,0.04,7.7,0.8,1.0,7.93,14.24,0.95,1.88,0.43,4.04,3.25,2.83,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCCO,2019-01-01,160.0,8.2,164.0,14.62,3.31,1.34,68.75,33.24,3.39,10.31,11.89,70.49,,0.04,9.3,1.0,1.2,6.84,1.45,2.72,4.75,0.43,3.24,22.18,2.04,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCCO,2018-01-01,148.0,2.19,159.0,13.2,3.22,1.32,7.54,7.42,3.46,9.95,11.43,8.1,,0.04,10.4,1.0,1.3,7.57,13.26,13.77,11.71,0.38,2.7,2.2,2.06,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCCO,2017-01-01,152.0,25.27,169.0,26.06,3.94,1.43,9.92,8.26,4.4,15.5,18.53,11.09,,0.04,6.5,0.6,1.0,3.84,10.08,0.05,1.55,0.46,4.43,3.17,1.59,42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCCO,2016-01-01,121.0,21.32,158.0,18.11,3.49,1.48,31.04,23.56,4.55,15.0,17.8,40.41,,0.04,8.1,0.7,1.0,5.52,3.22,0.28,1.49,0.71,5.57,15.01,1.77,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCCO,2015-01-01,100.0,32.39,138.0,16.28,3.02,1.26,8.43,6.87,4.16,13.7,16.37,11.62,,0.04,7.9,0.7,1.0,6.14,11.87,0.36,1.51,0.77,6.05,5.14,1.88,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCCO,2014-01-01,75.0,36.77,114.0,14.71,2.42,1.01,8.57,6.27,3.68,13.46,16.11,13.02,,0.04,7.1,0.6,0.9,6.8,11.67,25.76,23.64,0.83,7.25,7.01,2.12,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCCO,2013-01-01,55.0,25.67,118.0,13.31,2.14,1.05,4.25,3.39,4.6,18.76,22.37,9.13,,0.04,7.8,0.7,0.8,7.51,23.53,1.38,0.74,1.47,12.27,5.97,2.12,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWBK,2022-01-01,147.0,14.15,218.0,7.1,2.0,1.16,8.17,7.27,2.96,8.0,8.68,12.08,,0.04,16.6,1.1,1.3,14.08,12.24,1.64,4.65,1.21,5.66,8.55,3.0,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWBK,2021-01-01,172.0,20.95,164.0,7.62,2.23,1.15,5.79,5.68,2.13,5.39,5.82,5.54,,0.04,16.2,1.3,1.6,13.12,17.28,1.82,4.01,1.02,5.0,5.14,2.19,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWBK,2020-01-01,142.0,11.33,165.0,9.93,2.27,1.09,7.33,6.75,2.64,8.36,9.44,8.52,,0.04,11.6,0.9,1.0,10.07,13.65,0.72,2.94,1.56,10.31,10.51,2.22,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWBK,2019-01-01,160.0,26.11,258.0,9.93,2.83,1.39,9.29,8.26,4.56,11.72,12.93,14.96,,0.04,14.6,1.1,1.2,10.07,10.77,4.0,2.2,1.53,8.0,10.21,1.8,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWBK,2018-01-01,127.0,5.44,254.0,11.85,2.42,1.28,9.07,7.79,4.84,17.92,20.52,18.17,,0.04,11.3,0.7,0.8,8.44,11.02,0.04,1.71,1.7,11.94,12.1,1.75,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWBK,2017-01-01,120.0,20.91,256.0,35.26,2.4,1.32,10.72,9.65,5.11,19.61,22.62,22.8,,0.04,3.6,0.2,0.7,2.84,9.33,0.83,2.12,2.17,15.2,17.68,1.29,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWBK,2016-01-01,100.0,16.12,247.0,13.67,2.11,1.09,8.11,7.36,5.24,19.31,22.43,20.15,,0.04,8.0,0.6,0.8,7.31,12.33,0.65,1.82,1.91,13.57,14.16,1.18,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWBK,2015-01-01,86.0,14.95,214.0,9.97,1.73,0.98,6.87,6.43,4.3,14.26,16.21,17.12,,0.04,10.1,0.7,1.0,10.03,14.56,0.0,1.26,1.79,10.43,12.52,1.26,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWBK,2014-01-01,75.0,21.98,142.0,9.74,1.55,0.93,6.08,5.5,2.95,10.57,12.16,11.59,,0.04,9.6,0.7,1.0,10.26,16.46,,1.39,1.37,8.21,9.0,1.39,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWBK,2013-01-01,61.0,68.48,137.0,14.03,1.27,0.82,3.48,3.02,2.85,15.03,18.56,7.81,,0.04,5.7,0.4,0.6,7.13,28.76,0.0,1.22,1.41,11.45,5.95,1.22,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPBK,2022-01-01,170.0,12.16,97.0,5.09,1.85,0.96,2.06,2.03,1.06,2.01,2.07,1.18,,0.05,19.5,1.7,2.5,19.64,48.53,0.44,3.5,0.06,0.21,0.12,3.94,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
