symbol,date,market_capitalization,market_cap_growth,enterprise_value,pe_ratio,ps_ratio,pb_ratio,p_over_fcf_ratio,p_over_ocf_ratio,ev_over_sales_ratio,ev_over_ebitda_ratio,ev_over_ebit_ratio,ev_over_fcf_ratio,current_ratio,asset_turnover,return_on_equity_roe,return_on_assets_roa,return_on_capital_roic,earnings_yield,fcf_yield,buyback_yield_or_dilution,total_shareholder_return,debt_or_equity_ratio,debt_or_ebitda_ratio,debt_or_fcf_ratio,dividend_yield,payout_ratio,revenue,revenue_growth_yoy,gross_profit,selling_general_and_admin,other_operating_expenses,operating_expenses,operating_income,pretax_income,income_tax,net_income,preferred_dividends,net_income_common,net_income_growth,shares_outstanding_basic,shares_outstanding_diluted,shares_change,eps_basic,eps_diluted,eps_growth,free_cash_flow_per_share,gross_margin,operating_margin,profit_margin,free_cash_flow_margin,effective_tax_rate,ebitda,ebitda_margin,depreciation_and_amortization,ebit,ebit_margin
CNDA,2022-01-01,348.0,2.0,347.0,23.98,,34.16,250.6,250.6,,22.69,22.69,249.82,2.72,,117.0,5.1,5.4,4.17,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUGG,2022-01-01,347.0,2.32,347.0,27.28,,32.65,525.94,525.94,,27.29,27.29,526.17,0.44,,99.1,4.6,4.6,3.67,0.19,,,0.02,0.02,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLEU,2022-01-01,347.0,38.14,347.0,138.53,,35.52,879.44,879.44,,138.62,138.62,880.05,1.35,,26.1,0.9,0.9,0.72,0.11,263.16,263.16,0.03,0.12,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMLD,2022-01-01,345.0,13.48,345.0,309.47,,40.62,202.71,202.71,,187.4,187.4,202.67,0.52,,14.1,0.4,0.7,0.32,0.49,472.2,472.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEGR,2022-01-01,332.0,1.72,332.0,25.01,,32.63,339.36,339.36,,24.97,24.97,338.83,1.24,,101.6,5.0,5.0,4.0,0.29,202.92,202.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFGD,2022-01-01,325.0,15.42,324.0,140.23,,40.05,390.59,390.59,,139.88,139.88,389.61,2.31,,30.7,0.9,0.9,0.71,0.26,325.41,325.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFTA,2022-01-01,325.0,3.19,324.0,37.97,,49.39,405.39,405.39,,37.93,37.93,404.93,0.47,,87.5,3.3,3.3,2.63,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPAB,2022-01-01,318.0,6.49,317.0,193.64,,35.51,226.22,226.22,,136.41,136.41,225.98,0.66,,19.1,0.6,0.9,0.52,0.44,229.78,229.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNAB,2022-01-01,321.0,1.72,321.0,116.94,,42.94,1044.31,1044.31,,116.95,116.95,1044.38,2.5,,38.4,1.1,1.1,0.86,0.1,52.19,52.19,0.02,0.05,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNAD,2022-01-01,320.0,2.34,321.0,117.08,,42.91,961.9,961.9,,117.09,117.09,961.96,2.52,,38.3,1.1,1.1,0.85,0.1,52.19,52.19,0.02,0.05,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLVR,2022-01-01,314.0,0.8,314.0,34.12,,26.69,737.75,737.75,,34.12,34.12,737.8,0.27,,73.8,3.7,3.7,2.93,0.14,121.65,121.65,0.0,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPUH,2022-01-01,1089.0,3.8,1089.0,33.64,,131.69,344.4,344.4,,31.53,31.53,344.45,0.74,,98.8,4.8,5.1,2.97,0.29,4.21,4.21,0.11,0.03,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWEL,2022-01-01,310.0,2.27,310.0,27.13,,28.78,328.79,328.79,,25.43,25.43,328.65,0.5,,93.8,4.5,4.8,3.69,0.3,81.22,81.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STET,2022-01-01,309.0,17.41,13.0,15.06,,23.5,195.14,195.14,,0.65,0.65,8.41,20.98,,128.9,6.9,7.2,6.64,0.51,687.92,687.92,0.1,0.06,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPAC,2022-01-01,379.0,4.12,380.0,25.16,,25.73,248.44,248.44,,25.2,25.2,248.89,0.03,,94.6,5.0,5.0,3.97,0.4,5.66,5.66,0.05,0.05,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATE,2022-01-01,413.0,1.06,413.0,335.65,,26.16,412.43,412.43,,220.72,220.72,412.06,0.74,,8.2,0.5,0.8,0.3,0.24,116.33,116.33,0.01,0.11,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THCP,2022-01-01,300.0,1.79,300.0,79.87,,27.79,330.3,330.3,,73.85,73.85,330.49,0.07,,37.7,1.6,1.7,1.25,0.3,67.82,67.82,0.02,0.05,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOS,2022-01-01,300.0,29.9,305.0,150.08,,20.27,433.21,433.21,,152.65,152.65,440.62,1.04,,13.9,0.8,0.8,0.67,0.23,326.28,326.28,0.36,2.64,7.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORS,2022-01-01,297.0,2.46,297.0,22.54,,20.31,606.84,606.84,,22.52,22.52,606.21,0.93,,99.7,4.7,4.7,4.44,0.16,662.13,662.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEKA,2022-01-01,424.0,13.67,131.0,5.07,,196.21,718.84,718.84,,1.57,1.57,223.0,83.49,,302.7,28.7,29.2,19.71,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITE,2022-01-01,298.0,,297.0,23.78,,33.84,110.59,110.59,,23.69,23.69,110.19,13.78,,124.0,5.2,5.3,4.21,0.9,465.89,465.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTWN,2022-01-01,297.0,59.34,300.0,12.79,,11.45,153.58,153.58,,12.94,12.94,155.39,0.12,,80.7,4.8,4.8,7.82,0.65,11.94,11.94,0.14,0.15,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTWN,2021-01-01,730.0,36.56,732.0,8.2,,16.54,323.31,323.31,,8.22,8.22,324.0,0.18,,407.3,14.9,15.0,12.19,0.31,91.97,91.97,0.04,0.02,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCUA,2022-01-01,295.0,17.87,295.0,17.36,,34.06,170.86,170.86,,17.37,17.37,170.91,31.78,,147.2,7.2,7.2,5.76,0.59,,,0.01,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBRG,2022-01-01,296.0,2.09,297.0,27.6,,79.02,326.82,326.82,,27.72,27.72,328.27,13.5,,187.6,4.5,4.5,3.62,0.31,,,0.38,0.13,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
