Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,+99 Quarters
Common Stock,456.09,456.1,456.15,458.72,470.84,267.13,271.54,256.56,256.4,256.4,256.42,256.58,261.31,261.94,251.63,247.67,249.49,246.31,246.75,249.09,225.78,225.83,227.56,230.86,234.24,235.19,236.37,236.1,235.41,234.93,241.89,241.36,240.64,240.17,240.12,240.01,238.08,238.03,237.98,237.94,Upgrade
Retained Earnings,"2,201.44","2,146","2,065.09","1,980.67","1,907.52","1,983.12","1,935.33","1,881.62","1,821.97","1,775.03","1,722.55","1,682.37","1,713.38","1,666.91","1,622.54","1,586.59","1,552.25","1,522.12","1,472.13","1,431.69","1,373.92","1,349.04","1,322.2","1,295.68","1,269.29","1,243.49","1,217.27","1,192.04","1,178.93","1,167.25","1,142.32","1,109.86","1,084.84","1,063.4","1,041.82","1,015.76",992.11,969.17,949.08,929.27,Upgrade
Comprehensive Income,"-1,222.54","-1,297.81",-936.35,-664,-139.37,-82.63,-34.58,-43.46,11.92,18.49,25.19,17.85,-62.66,-50.54,-53.25,-69.92,-80.49,-91.65,-88.75,-85.99,-63.84,-50.2,-49.86,-50.36,-50.94,-33.55,-27.59,-32.14,-41.83,-36.36,-41.29,-37.03,-43.69,-15.51,-15.04,-22.06,-29.96,-39.39,-39.33,-13.12,Upgrade
Shareholders' Equity,"4,311.37","4,166.93","4,437.93","4,643.76","5,247.99","3,023.26","3,069.57","2,825.2","2,822.48","2,782.54","2,732.69","2,681.9","2,685.02","2,489.43","2,327.12","2,226.59","2,205.74","2,116.38","2,072.08","2,060.49","1,713.49","1,700.5","1,691.83","1,702.39","1,723.88","1,724.1","1,713.04","1,679.79","1,655.44","1,644.82","1,680.2","1,645.21","1,606.06","1,610.54","1,588.85","1,554.68","1,513.13","1,480.61","1,459.79","1,465.18",Upgrade
Total Liabilities and Equity,"48,653.41","47,699.66","47,747.71","47,204.06","47,669.75","28,060.5","27,612.37","25,802.5","24,081.19","23,555.42","23,236.18","21,032.52","21,052.58","19,850.23","18,936.81","18,314.18","18,001.54","17,249.18","17,222.49","17,185.77","15,298.52","14,760.39","14,843.13","14,866.05","14,724.39","14,611.48","14,137.16","13,926.4","13,798.66","13,787.42","13,634.93","13,630.32","13,326.37","13,071.56","12,985.89","13,143.56","13,029.73","12,916.15","13,217.71","13,393.14",Upgrade
Net Cash / Debt,"10,379.46","11,468.23","13,625.25","15,567.96","16,418.74","10,193.54","9,733.58","7,938.09","6,346.72","5,704.15","5,230.63","4,449.88","4,513.38","3,561.04","3,281.71","3,385.15","3,075.41","3,101.35","3,146.48","3,301.68","2,001.09","1,925.15","2,054.35","2,412.31","2,119.75","2,206.23","1,987.95","2,271.95","2,125.33","2,339.05","2,371.97","2,654.93","2,409.33","2,346.16","2,471.3","2,907.84","2,882.25","3,000.08","3,246.38","3,530.82",Upgrade
Net Cash / Debt Growth,-36.78%,12.50%,39.98%,96.12%,158.70%,78.70%,86.09%,78.39%,40.62%,60.18%,59.39%,31.45%,46.76%,14.82%,4.30%,2.53%,53.69%,61.10%,53.16%,36.87%,-5.60%,-12.74%,3.34%,6.18%,-0.26%,-5.68%,-16.19%,-14.43%,-11.79%,-0.30%,-4.02%,-8.70%,-16.41%,-21.80%,-23.88%,-17.64%,-16.31%,305.46%,413.48%,439.22%,Upgrade
Net Cash Per Share,56.62,62.56,74.17,83.13,151.98,94.17,91.97,77.28,61.71,55.47,50.87,42.49,35.64,35.09,32.53,33.95,23.57,31.38,31.76,33.37,23.93,21.13,22.44,25.71,22.56,23.33,20.99,24.02,22.52,24.25,24.46,27.47,24.97,24.34,25.64,30.30,30.14,31.41,34.03,37.26,Upgrade
Working Capital,"10,842.02","11,931.52","14,090.32","16,033.66","16,901.15","16,462.59","16,982.85","16,748.53","16,434.53","16,485.2","16,853.28","15,158.93","15,204.01","15,719.77","14,928.12","14,440.68","14,143.88","13,453.1","13,427.33","13,194.74","10,800.23","11,139.41","11,425.06","11,698.26","11,468.48","11,523.23","11,411.85","11,292.1","11,031.09","11,009.02","10,766.03","10,815.64","10,541.59","10,235.48","10,024.94","10,090.61","9,934.61","9,772.38","9,984.51","10,196.81",Upgrade
Book Value Per Share,23.63,22.84,24.24,24.95,48.58,27.99,29.06,27.53,27.52,27.13,26.63,25.70,21.20,24.61,23.13,22.38,16.90,21.45,20.95,20.86,20.49,18.70,18.52,18.18,18.39,18.28,18.13,17.80,17.59,17.10,17.39,17.07,16.70,16.77,16.54,16.26,15.89,15.55,15.34,15.49,Upgrade
